# unit	matched_code	matched_functions	total_code	total_functions
default/CharacterCreatorPanel	8508	163	21260	204
default/CharacterTest	1356	28	4508	40
default/CheatProvider	1544	27	7512	67
default/Cheats	5524	66	8072	76
default/CheckboxDisplay	2896	40	3128	43
default/ChecksumAlgorithm	0	0	280	1
default/ChooseColorPanel	2224	28	2448	29
default/ChordShapeGenerator	8264	119	21316	142
default/ChordbookPanel	7244	105	13144	115
default/ChunkStream	3956	30	5196	35
default/Chunks	1732	13	2040	15
default/ClipCollide	40	1	336	6
default/ClipDistMap	540	4	2332	16
default/ClipGraphGen	0	0	28	3
default/Color	732	4	1528	10
default/ColorPalette	80	2	1048	8
default/ColorXfm	1676	11	2872	11
default/Common_Xbox	152	3	500	7
default/Compress	304	3	304	3
default/CompressionEffect	672	4	1304	4
default/ConnectionStatusPanel	1520	18	1680	20
default/Console	9936	80	13000	88
default/ContentDeletePanel	2816	33	2816	33
default/ContentMgr	1244	22	3216	31
default/ContentMgr_Xbox	4804	64	7908	75
default/ContextChecker	5728	56	8428	85
default/ContextWrapper	1804	22	2960	38
default/CrazeHollaback	160	2	412	3
default/CreditsPanel	2652	32	3920	36
default/CritSec	340	5	340	5
default/CriticalUserListener	1896	18	2240	21
default/Crowd	18440	185	29596	222
default/CrowdAudio	11820	116	15516	131
default/CrowdMeterIcon	4816	88	8616	116
default/CustomizePanel	10348	204	24980	237
default/CymbalSelectionProvider	788	13	1436	19
default/DOFProc	16	1	16	1
default/DOFProc_NG	1124	16	3080	19
default/DataArray	4948	48	6124	49
default/DataArraySongInfo	2780	39	6280	45
default/DataEventList	2804	28	4256	37
default/DataFile	6756	83	13884	121
default/DataFlex	900	4	2636	10
default/DataFunc	31168	226	34824	243
default/DataNode	6620	67	11380	100
default/DataPointMgr	2320	38	3160	45
default/DataUtl	2544	31	2608	32
default/DateTime	1552	19	2512	21
default/DeJitterPanel	1560	22	1568	23
default/Debug	2752	42	7608	69
default/Decibels	164	2	164	2
default/DefaultPhysicsManager	0	1	224	3
default/Defines	1180	12	2736	29
default/DelayEffect	384	5	768	6
default/DeployCountTracker	3772	29	5084	33
default/DepthBuffer3D	2464	42	9160	92
default/DingoSvr	88	3	300	5
default/DirLoader	8464	100	18492	140
default/DirUnloader	936	15	1612	21
default/DisplayEvents	944	3	944	3
default/DistortionEffect	40	2	208	4
default/Draw	5032	52	5784	56
default/DrivenPropertyEntry	104	2	2540	27
default/DrumFillTrackWatcherImpl	864	8	864	8
default/DrumPlayer	848	9	848	9
default/DuplicatedObject	312	8	25056	95
default/EQEffect	628	4	2748	5
default/Emitter	3488	37	4492	42
default/EndingBonus	6872	105	10392	128
default/EntityUploader	7096	56	9036	68
default/Env	11260	104	13928	112
default/EnvAnim	2952	36	4480	46
default/Env_NG	4800	36	9244	47
default/EnvelopeGenerator	1556	10	1556	10
default/EventAnim	3240	33	5268	49
default/EventTrigger	21328	262	42536	340
default/ExternalMic	1760	22	3628	27
default/FFT	488	4	10732	13
default/FIFOSampleBuffer	904	13	904	13
default/FIRFilter	732	5	884	6
default/Faders	4756	50	7448	67
default/FakeSongMgr	236	3	300	4
default/FftIpp	700	6	1084	8
default/File	4328	48	8108	63
default/FileCache	5608	49	9712	79
default/FileChecksum	256	3	728	5
default/FileMerger	16396	207	32116	247
default/FileMergerOrganizer	3008	31	4444	37
default/FilePath	440	8	1224	22
default/FileStream	1456	17	1456	17
default/File_Win	324	3	616	5
default/FilterCoeffs	348	1	692	2
default/FilterVersion	64	2	612	6
default/FingerShape	624	7	1664	8
default/FitnessFilter	68	3	1080	10
default/FixedSizeSaveable	1064	9	2764	23
default/FixedSizeSaveableStream	1060	17	1360	20
default/FlangerEffect	488	4	1256	5
default/Flare	4756	44	6808	48
default/Flow	348	7	3144	16
default/FlowCommand	952	15	1892	20
default/FlowDistance	68	1	68	1
default/FlowEventListener	0	0	224	2
default/FlowIf	136	4	892	16
default/FlowLabel	0	0	8	1
default/FlowManager	88	1	88	1
default/FlowMultiSetProperty	468	4	468	4
default/FlowNode	240	5	3352	12
default/FlowOnStop	32	1	180	4
default/FlowQueueable	0	0	12	1
default/FlowSetProperty	120	1	1044	4
default/FlowSlider	192	2	192	2
default/FlowSound	68	2	108	2
default/FlowSwitchCase	0	0	540	4
default/FlowTrigger	212	4	872	8
default/FlowValueCase	120	3	2220	12
default/FlowWhile	0	0	208	2
default/FocusTracker	8732	72	13288	100
default/Font	8424	75	18016	108
default/Font3d	88	1	88	1
default/FreeCamera	1288	9	2696	11
default/FreestyleMoveRecorder	32	1	1696	13
default/FreestylePanel	4600	41	8728	57
default/FxSendWah	2344	27	2500	28
default/GainEffect	836	8	836	8
default/GameConfig	7276	71	9692	79
default/GameMicManager	2728	41	6204	59
default/GameMode	2832	29	2832	29
default/GamePanel	7632	90	11092	96
default/GameplayOptions	1448	13	1624	14
default/GemManager	11508	120	28768	187
default/GemPlayer	36600	302	50544	340
default/GemSmasher	1736	25	2920	34
default/GemTrack	6692	82	14760	102
default/GemTrackDir	23360	287	35876	328
default/GemTrackResourceManager	1636	25	5372	51
default/Gen	6940	71	9844	83
default/Geo	4148	31	13620	48
default/Gesture	40	1	508	6
default/GranularSynth	140	3	3632	17
default/Graph	1080	13	1752	18
default/Group	5616	79	13324	113
default/GuitarController	3980	25	6232	30
default/GuitarFx	3108	28	3560	40
default/GuitarTrackWatcherImpl	1148	11	1232	13
default/HAQManager	40	1	1876	10
default/HDCache	2492	22	5904	28
default/Ham	392	6	456	9
default/HamBattleData	0	0	96	1
default/HamCamShot	0	0	156	1
default/HamCamTransform	3360	94	19044	193
default/HamCharacter	60	2	788	14
default/HamDirector	148	3	668	6
default/HamIKEffector	424	3	1224	6
default/HamIKSkeleton	120	3	760	9
default/HamLabel	240	3	240	3
default/HamListRibbon	652	4	1068	9
default/HamMaster	96	1	96	1
default/HamMove	3200	25	5720	43
default/HamNavList	1028	9	1164	10
default/HamNavProvider	140	6	2332	22
default/HamPhotoDisplay	0	0	208	2
default/HamRibbon	216	2	636	5
default/HamScrollSpeedIndicator	36	3	188	5
default/HamSongData	364	2	364	2
default/HamSupereasyData	0	0	260	4
default/HeadsetPlaybackEffect	728	8	728	8
default/HeadsetXferEffect	600	7	948	10
default/HeldButtonPanel	4952	55	5072	56
default/HeldNote	880	8	880	8
default/HiResScreen	392	5	392	5
default/HolmesClient	332	3	728	8
default/HttpGet	1892	18	2540	27
default/HxGuid	512	5	548	7
default/IPP_basicmath_xbox	88	2	184	4
default/IdentityInfo	240	6	412	7
default/InlineHelp	8468	93	11388	109
default/Instance	7516	94	13144	111
default/Instarank	4516	48	4516	48
default/InstrumentDifficultyDisplay	5860	58	5952	58
default/Interp	1116	14	1744	16
default/JobMgr	632	8	1012	10
default/Joypad	6040	58	11304	75
default/JoypadClient	2916	25	3732	29
default/JoypadController	2048	16	2048	16
default/JoypadMsgs	3316	42	4504	50
default/JoypadTrackWatcherImpl	1520	8	1520	8
default/Joypad_Xbox	1016	14	2948	25
default/Joypad_Xinput	640	6	1756	11
default/JsonMemory	80	1	108	2
default/JsonUtils	800	10	2100	25
default/Jukebox	172	2	412	4
default/Key	752	2	1284	4
default/KeyboardTrackWatcherImpl	2212	21	3456	25
default/LabelNumberTicker	3532	54	5996	63
default/LabelShrinkWrapper	2420	34	4396	47
default/LayerDir	7264	104	11536	120
default/Leaderboard	6920	73	10888	91
default/LightHue	7496	77	9528	89
default/LightPreset	36356	324	57740	397
default/LightPresetManager	2712	28	5652	46
default/Line	8312	62	13356	78
default/Lit	7964	71	9612	78
default/LitAnim	2508	29	3272	34
default/Lit_NG	1896	30	6704	44
default/LiveCameraInput	40	2	624	5
default/Loader	2348	35	4868	50
default/Locale	556	9	2380	12
default/LocaleOrdinal	1976	8	1976	8
default/LocalePanel	0	0	96	1
default/MBT	108	1	192	3
default/Main	40	1	116	2
default/MainHubMessageProvider	1908	20	2768	29
default/MainHubPanel	16436	163	18884	172
default/MakeString	256	4	1856	16
default/MapFile_Xbox	1976	11	2836	14
default/MasterAudio	13824	115	18988	134
default/Mat	7288	61	8804	74
default/MatAnim	8360	81	15480	109
default/Mat_NG	1884	15	5352	18
default/Matchmaker	7344	85	11176	113
default/MeasureMap	612	8	1596	19
default/MemHeap	1680	27	5376	42
default/MemMgr	956	15	4252	31
default/MemStats	656	10	656	10
default/MemStream	708	7	708	7
default/MemTrack	932	14	1988	20
default/MemTracker	6868	45	12088	71
default/Memcard	408	6	564	8
default/MemcardMgr_Xbox	3692	47	8408	78
default/Memcard_Xbox	4828	64	6476	70
default/Memory_Xbox	756	19	3636	45
default/MercurySwitchFilter	1064	11	1380	15
default/Mesh	27036	255	46252	334
default/MeshAnim	20604	230	38292	340
default/MeshDeform	5820	55	11032	78
default/MessageTimer	1248	16	4996	30
default/MetaMaterial	0	0	500	4
default/MetaMusic	6000	65	10064	78
default/MetaMusicScene	1300	17	1624	18
default/MetaPanel	22728	346	26772	378
default/MetaPerformer	31012	306	42328	356
default/MeterDisplay	5620	63	6732	73
default/MeterEffect	708	7	708	7
default/Metronome	396	6	772	11
default/Mic	6104	73	13548	110
default/MicClientMapper	832	10	1660	18
default/MicInputArrow	3416	47	5536	52
default/MicNull	336	3	548	5
default/MidiInstrument	7052	82	10824	116
default/MidiParser	18176	157	27288	227
default/MidiParserMgr	4200	46	5336	54
default/MidiReader	4808	43	6716	51
default/MidiSynth	7576	80	10820	96
default/MoggClipMap	936	10	3960	45
default/Morph	6152	72	11592	97
default/MoveAsyncDetector	624	12	1048	15
default/MoveDir	284	6	496	9
default/MoveMgr	1824	25	14160	115
default/MoviePanel	4584	64	7656	75
default/MovieSys	56	2	56	2
default/Msg	6632	67	9224	85
default/MultiMesh	0	0	196	2
default/MultiMeshProxy	1636	22	1700	24
default/MultiTempoTempoMap	1896	20	2996	26
default/MusicLibrary	31100	339	44100	370
default/MusicLibraryStore	1768	30	8808	67
default/NetCacheLoader	1432	15	1472	15
default/NetCacheMgr	2396	27	4188	46
default/NetCacheMgr_Xbox	700	11	1620	15
default/NetGameMsgs	7844	114	10780	141
default/NetLoader	740	13	1016	13
default/NetLoader_Xbox	1036	12	1076	12
default/NetworkEmulator	1848	15	2464	17
default/NetworkSocket_Win	2012	20	2248	22
default/NextSongPanel	16088	333	33456	350
default/NoteTube	1192	14	1936	19
default/OSCMessenger	0	0	644	3
default/Object	6696	66	11272	98
default/OnlineID	612	10	1260	17
default/Option	976	9	1004	10
default/OriginalChoreoRemixer	248	6	2052	18
default/OutfitConfig	11908	173	29492	232
default/OverdriveMeter	2404	54	5396	69
default/OverdriveTimeTracker	1116	11	1488	15
default/OverdriveTracker	3436	28	5552	38
default/Overlay	2680	23	4980	39
default/OvershellDir	5084	56	5300	59
default/OvershellPanel	18196	249	33500	272
default/OvershellPartSelectProvider	2204	23	3488	25
default/OvershellSlot	34972	402	51416	430
default/OvershellSlotState	5028	59	5292	61
default/PanelDir	8848	86	12584	107
default/Part	25008	154	34944	175
default/PartAnim	6004	50	7788	60
default/PartLauncher	9240	59	10680	67
default/PatchDir	12756	149	19180	179
default/PeakDetector	0	0	1284	3
default/PerformanceData	4296	30	5444	38
default/Performer	9392	109	11436	118
default/PhysicsManager	32	1	292	3
default/PhysicsVolume	32	2	32	2
default/PitchArrow	9064	136	13896	142
default/PitchCorrectedVoice	204	5	732	6
default/PitchDetector	2200	20	2876	21
default/PitchShiftEffect	1264	11	1264	11
default/PlatformMgr	3256	62	7472	78
default/PlayerDiffIcon	2900	43	4872	53
default/PlayerLeaderboards	1500	19	2000	22
default/Poll	836	8	836	8
default/PollAnim	2500	30	3788	39
default/Pollable	436	6	552	7
default/Pool	132	3	140	4
default/PoolAlloc	568	7	2116	21
default/PostProc	12440	116	18564	130
default/PostProc_NG	3736	37	7248	46
default/PostProcer	124	2	412	7
default/PracticePanel	9092	104	12924	115
default/PracticeSection	540	16	3404	39
default/PreloadPanel	3740	51	4404	53
default/Primes	64	1	64	1
default/Profile	1184	16	1260	17
default/ProfileMgr	21808	200	27336	237
default/Profiler	144	2	624	4
default/PropAnim	17844	237	30424	274
default/PropKeys	15364	133	22380	169
default/PropSync	8656	119	15416	148
default/PropertyEventProvider	92	1	156	3
default/QuestFilterPanel	4604	62	7004	71
default/QuestJournal	296	3	296	3
default/QuestManager	2396	20	3048	26
default/RGGemMatcher	1508	8	2168	13
default/RGState	216	8	372	10
default/RGUtl	4744	21	8220	33
default/Rand	904	10	1792	27
default/Rand2	100	2	100	2
default/RealGuitarTrackWatcherImpl	2964	16	3452	20
default/RenderState	756	17	1888	24
default/RhythmBattle	0	1	944	4
default/RhythmDetector	504	12	4772	38
default/Ribbon	0	0	588	4
default/Rnd_NG	48	1	140	2
default/Rnd_Xbox	8424	128	20352	170
default/RockCentral	52520	768	93720	954
default/RockCentralJobs	1920	25	2184	26
default/Rot	4904	39	8532	56
default/SHA1	1716	12	7572	13
default/SIVideo	228	5	672	5
default/SampleData	1404	17	2524	22
default/SampleInst	444	10	1040	15
default/SampleZone	852	7	852	7
default/Scheduler	0	0	8500	26
default/ScoreDisplay	3280	38	3368	38
default/ScreenMask	2448	25	3464	31
default/Screenshot	2140	25	4940	54
default/ScrollSelect	2832	31	2832	31
default/ScrollbarDisplay	7264	67	7576	70
default/SelectDifficultyPanel	6348	63	7532	69
default/Sequence	18848	215	24036	238
default/Server	1324	15	1552	16
default/SessionJobs_Xbox	160	3	4032	43
default/SessionMessages	3996	53	5344	62
default/SessionUsersProviders	1696	20	2368	24
default/Set	2216	22	2920	25
default/SetlistMergePanel	6460	77	8280	92
default/Sfx	12588	153	20100	195
default/SfxMap	828	8	868	8
default/Shader	3496	17	11280	37
default/ShaderOptions	904	4	4180	8
default/ShadowMap	432	4	1472	8
default/Shockwave	548	12	5100	45
default/SkeletonClip	1140	16	5496	37
default/SkeletonUpdate	8	1	156	3
default/SkeletonViz	164	1	656	4
default/SlipTrack	944	9	944	9
default/SoftParticleBuffer	1984	19	2684	20
default/Song	9312	98	13332	106
default/SongCollision	580	5	1640	16
default/SongDB	7872	110	13384	143
default/SongData	16248	209	29956	275
default/SongInfoCopy	3888	51	4992	57
default/SongLayout	576	13	4136	39
default/SongMetadata	2884	25	3172	27
default/SongMgr	5864	61	8952	70
default/SongParser	19060	176	34136	217
default/SongPreview	3308	22	4196	25
default/SongSectionController	10612	123	17116	149
default/SongSortByArtist	2944	35	3696	37
default/SongSortByDiff	1548	16	1548	16
default/SongSortByPlays	108	1	108	1
default/SongSortByRank	4892	47	5640	49
default/SongSortByRecent	3424	41	3424	41
default/SongSortByReview	2664	32	2664	32
default/SongSortBySong	1404	18	1744	20
default/SongSortByStars	2368	26	2368	26
default/SongSortMgr	11904	178	17776	189
default/SongSortNode	9864	105	11196	109
default/SongStatusMgr	9020	80	13516	107
default/Sort	80	1	80	1
default/Sorting	668	4	668	4
default/SoundTouch	1780	22	1780	22
default/SpectralAnalysis	1168	3	2428	8
default/SpeechMgr	80	2	756	8
default/Splash	2816	36	10000	79
default/Spline	0	0	308	3
default/Spotlight	15108	182	32700	213
default/SpotlightDrawer	9340	77	13896	106
default/SpotlightDrawer_NG	6544	57	13132	69
default/SpotlightEnder	728	7	728	7
default/StandardStream	8252	112	14124	139
default/StarDisplay	8708	96	9516	106
default/StatCollector	376	6	564	6
default/StoreEnumeration	992	12	1912	18
default/StoreOffer	7900	100	9040	100
default/StorePanel	4756	66	13704	121
default/StorePreviewMgr	2612	36	3744	42
default/StorePurchaser	76	1	136	2
default/Str	3544	41	4428	53
default/StreakMeter	6804	163	20888	218
default/StreakTracker	5280	38	5408	38
default/Stream	472	7	472	7
default/StreamChecksum	648	8	724	10
default/StreamNull	696	15	1000	18
default/StreamPlayer	1148	11	1148	11
default/StreamReceiver	776	10	1616	15
default/StreamReceiver360	2360	28	3200	31
default/StringConversion	0	0	64	1
default/StringTable	1408	21	3116	34
default/StubCameraInput	0	0	452	2
default/Symbol	2964	22	3776	30
default/SynapseAPO	692	9	1476	15
default/Synapse_dsp	3756	52	9252	77
default/SyncStore	2740	37	4024	58
default/SynchronizationEvent	140	4	140	4
default/System	412	2	484	3
default/System_Xbox	88	3	96	4
default/TDStretch	7112	60	7496	64
default/Tail	1764	12	3212	15
default/TambourineDetector	312	1	312	1
default/Task	8100	117	11992	143
default/TempoMap	164	6	164	6
default/Tex	5596	44	7860	56
default/TexBlendController	3244	35	4384	41
default/TexBlender	5984	75	11100	86
default/TexLoadPanel	3760	42	4308	49
default/TexMovie	3408	48	5668	60
default/TexProc	0	0	4	1
default/TexRenderer	5120	59	10492	67
default/Text	12592	113	29616	171
default/TextFileStream	324	4	324	4
default/TextStream	228	3	692	8
default/ThreadCall_Win	596	6	848	7
default/ThreeDSoundManager	0	0	164	2
default/Timer	3804	33	3804	33
default/Tour	5132	115	16988	175
default/TourBand	2396	29	2396	29
default/TourDescPanel	5488	72	13780	114
default/TourPerformer	1808	38	5328	49
default/TourProgress	4400	85	8708	103
default/TourSavable	848	14	848	14
default/TrackConfig	280	7	452	7
default/TrackDir	8632	119	14752	151
default/TrackPanelDir	12684	174	23268	237
default/TrackPanelDirBase	7716	86	9808	94
default/TrackWatcher	2732	42	2824	43
default/TrackWatcherImpl	9484	71	15068	98
default/TrackWidget	10972	114	14664	135
default/TrackerManager	5204	64	6088	71
default/TrackerSource	2768	23	2768	23
default/TrackerUtils	2820	22	4252	29
default/TrainingPanel	4152	46	4192	46
default/Trans	13592	119	19248	138
default/TransAnim	8056	91	13060	121
default/TransConstraint	248	3	564	4
default/TransProxy	1744	26	2352	32
default/Trig	816	5	816	5
default/TypeProps	1368	14	3344	26
default/UI	9556	135	24416	210
default/UIButton	1216	13	1436	17
default/UIColor	896	9	1268	14
default/UIComponent	10192	111	12820	119
default/UIEvent	2924	37	3160	38
default/UIEventMgr	3572	33	5728	58
default/UIFontImporter	14700	143	21536	178
default/UIGuide	1224	11	1224	11
default/UILabel	18084	162	28716	226
default/UIList	21232	257	32380	298
default/UIListArrow	2256	20	2500	21
default/UIListCustom	1804	22	2400	25
default/UIListDir	8068	91	12504	109
default/UIListHighlight	1456	15	1680	17
default/UIListLabel	2144	22	2572	24
default/UIListMesh	1616	18	2324	23
default/UIListProvider	760	8	1192	11
default/UIListSlot	2348	28	3908	38
default/UIListState	5296	43	6128	51
default/UIListSubList	2672	25	3380	30
default/UIListWidget	7328	68	9500	82
default/UIPanel	7792	69	7940	74
default/UIPicture	4788	54	5388	60
default/UIScreen	6936	62	8800	69
default/UISlider	5016	66	7280	80
default/UITransitionHandler	1144	16	2348	29
default/UITrigger	4140	49	5100	53
default/UTF8	2020	14	2388	17
default/UploadErrorMgr	1444	30	3976	63
default/UsbMidiGuitarMsgs	3904	65	4724	70
default/UsbMidiKeyboard	536	12	3452	31
default/UsbMidiKeyboardMsgs	3160	55	4144	61
default/User	2292	31	2596	38
default/UserMgr	700	10	1132	12
default/VarTimer	680	6	680	6
default/VelocityBuffer	756	7	2644	12
default/VirtualKeyboard	1740	24	2124	25
default/VocalNoteList	3144	30	8004	51
default/VocalPart	2152	30	10836	70
default/VocalPlayer	20860	202	33656	237
default/VocalScoreHistory	204	1	204	1
default/VocalTrack	19764	178	44332	219
default/VocalTrackDir	35884	430	62948	614
default/Voice	7656	60	9700	74
default/VorbisMem	8	1	12	2
default/VorbisReader	1580	19	4572	33
default/WahEffect	204	2	1236	4
default/WaitingUserGate	3640	50	5420	62
default/Watcher	752	8	1492	15
default/WavMgr	40	1	3688	45
default/WaveFile	2620	33	4644	51
default/Waypoint	6656	79	11472	111
default/WebSvcMgr	0	0	4	1
default/WebSvcMgrCurl	96	5	532	7
default/Wind	2020	17	2880	23
default/XLSPConnection	1132	14	1864	17
default/aes	12744	4	12812	7
default/arraylist	476	5	476	5
default/auto_03_82270000_text	0	0	388	3
default/auto_03_822750A8_text	0	0	20	1
default/auto_03_822A7504_text	0	0	120	1
default/auto_03_822D6568_text	0	0	2852	24
default/auto_03_822E36B8_text	0	0	16	1
default/auto_03_822EBCA8_text	0	0	2236	1
default/auto_03_822FC4F8_text	0	0	3432	2
default/auto_03_823399C0_text	0	0	112	1
default/auto_03_82345824_text	0	0	2344	7
default/auto_03_8234AE48_text	0	0	1048	3
default/auto_03_823E0420_text	0	0	12	1
default/auto_03_823ECD58_text	0	0	9804	92
default/auto_03_823F2CD4_text	0	0	2328	30
default/auto_03_82402F68_text	0	0	56	1
default/auto_03_82429BE0_text	0	0	3192	24
default/auto_03_82459FC8_text	0	0	100	1
default/auto_03_8248787C_text	0	0	168	1
default/auto_03_824F6EA8_text	0	0	12	1
default/auto_03_824F6EB8_text	0	0	12	1
default/auto_03_8251DAB0_text	0	0	2436	16
default/auto_03_825219A0_text	0	0	3616	26
default/auto_03_82560B08_text	0	0	9892	95
default/auto_03_825632BC_text	0	0	4392	35
default/auto_03_8258A190_text	0	0	8	1
default/auto_03_825EAC38_text	0	0	6224	49
default/auto_03_82604520_text	0	0	628	14
default/auto_03_82631130_text	0	0	2240	17
default/auto_03_82641664_text	0	0	1708	1
default/auto_03_82650B74_text	0	0	3404	28
default/auto_03_82655784_text	0	0	2552	1
default/auto_03_8266B3E8_text	0	0	2404	28
default/auto_03_82697484_text	0	0	172	5
default/auto_03_826C8468_text	0	0	3108	10
default/auto_03_826F0F18_text	0	0	8	1
default/auto_03_826F8F68_text	0	0	52	1
default/auto_03_8270A9B8_text	0	0	128	1
default/auto_03_8272BAC8_text	0	0	24276	18
default/auto_03_8273CBFC_text	0	0	2980	11
default/auto_03_82743BD0_text	0	0	3164	13
default/auto_03_8276D248_text	0	0	84	1
default/auto_03_827A4FB0_text	0	0	12	1
default/auto_03_827CFC9C_text	0	0	8	1
default/auto_03_82812014_text	0	0	76	6
default/auto_03_82829218_text	0	0	2108	55
default/auto_03_8282A440_text	0	0	832	7
default/auto_03_8282A838_text	0	0	4536	20
default/auto_03_8282BBE0_text	0	0	7500	42
default/auto_03_8282DBB8_text	0	0	1956	12
default/auto_03_8282E4D0_text	0	0	1296	6
default/auto_03_8282ECE0_text	0	0	636	6
default/auto_03_8282F194_text	0	0	96	1
default/auto_03_8282F254_text	0	0	448	2
default/auto_03_8282F6BC_text	0	0	240	1
default/auto_03_8282F84C_text	0	0	904	12
default/auto_03_82830770_text	0	0	164	7
default/auto_03_82830F94_text	0	0	100	2
default/auto_03_82831CF8_text	0	0	12	1
default/auto_03_82831DD4_text	0	0	104	2
default/auto_03_82831F04_text	0	0	200	3
default/auto_03_828321A0_text	0	0	48	2
