stratum	fuzzy	mpn	size	n_mismatch	signature	opc_jaccard	LSobj_imm	LSr1_imm	unit	symbol
>=99	99.964	99.964	336	3	SOURCE_ARGVAL	1.0	0	0	default/OriginalChoreoRemixer	?_M_insert_overflow_aux@?$vector@V?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@V?$StlNodeAlloc@V?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAV?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@2@ABV32@ABU__false_type@2@I_N@Z
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	0	0	default/DrivenPropertyEntry	?_M_fill_insert@?$vector@VFlowMathOp@@V?$StlNodeAlloc@VFlowMathOp@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVFlowMathOp@@IABV3@@Z
>=99	99.964	100.000	1120	1	CODEGEN_REGALLOC	1.0	0	0	default/VocalPart	?HandlePhraseEnd@VocalPart@@QAAXAAHAAM10M@Z
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	0	0	default/FlowNode	?_M_fill_insert@?$vector@VDrivenPropertyEntry@@V?$StlNodeAlloc@VDrivenPropertyEntry@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVDrivenPropertyEntry@@IABV3@@Z
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	1	0	default/MicInputArrow	?NewObject@MicInputArrow@@SAPAVObject@Hmx@@XZ
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	1	0	default/ScrollbarDisplay	?NewObject@ScrollbarDisplay@@SAPAVObject@Hmx@@XZ
>=99	99.964	99.964	112	1	SOURCE_ARGVAL	1.0	0	0	default/system/hamobj/MiniLeaderboardDisplay	?Save@MiniLeaderboardDisplay@@UAAXAAVBinStream@@@Z
>=99	99.964	100.000	1652	3	MIXED	1.0	0	0	default/RGUtl	?RGGetChordName@@YAXPADHABVGameGem@@HH_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/BandCamShot	?_M_insert_overflow_aux@?$vector@UDynamicPropertyEntry@Flow@@V?$StlNodeAlloc@UDynamicPropertyEntry@Flow@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUDynamicPropertyEntry@Flow@@ABU34@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/LightPreset	?_M_insert_overflow_aux@?$vector@UEntry@LocalePanel@@V?$StlNodeAlloc@UEntry@LocalePanel@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUEntry@LocalePanel@@ABU34@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/HamNavProvider	?_M_insert_overflow_aux@?$vector@UNavItem@HamNavProvider@@V?$StlNodeAlloc@UNavItem@HamNavProvider@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUNavItem@HamNavProvider@@ABU34@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/SkeletonClip	?_M_insert_overflow_aux@?$vector@UMoveRating@SkeletonClip@@V?$StlNodeAlloc@UMoveRating@SkeletonClip@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUMoveRating@SkeletonClip@@ABU34@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/Morph	?_M_insert_overflow_aux@?$vector@ULocalizedName@HamMove@@V?$StlNodeAlloc@ULocalizedName@HamMove@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAULocalizedName@HamMove@@ABU34@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/PracticeSection	?_M_insert_overflow_aux@?$vector@VPracticeStep@@V?$StlNodeAlloc@VPracticeStep@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVPracticeStep@@ABV3@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/CameraShot	?_M_insert_overflow_aux@?$vector@VCamShotFrame@@V?$StlNodeAlloc@VCamShotFrame@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVCamShotFrame@@ABV3@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/InlineHelp	?_M_insert_overflow_aux@?$vector@UActionElement@InlineHelp@@V?$StlNodeAlloc@UActionElement@InlineHelp@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAUActionElement@InlineHelp@@ABU34@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/DrivenPropertyEntry	?_M_insert_overflow_aux@?$vector@VFlowMathOp@@V?$StlNodeAlloc@VFlowMathOp@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVFlowMathOp@@ABV3@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	328	3	SOURCE_ARGVAL	1.0	0	0	default/FlowNode	?_M_insert_overflow_aux@?$vector@VDrivenPropertyEntry@@V?$StlNodeAlloc@VDrivenPropertyEntry@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVDrivenPropertyEntry@@ABV3@ABU__false_type@2@I_N@Z
>=99	99.963	99.963	324	3	SOURCE_ARGVAL	1.0	0	0	default/RhythmBattle	?_M_insert_overflow_aux@?$vector@VArchiveSkeleton@@V?$StlNodeAlloc@VArchiveSkeleton@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVArchiveSkeleton@@ABV3@ABU__false_type@2@I_N@Z
>=99	99.961	99.961	620	6	SOURCE_ARGVAL	1.0	3	0	default/PropKeys	?SetFrame@FloatKeys@@UAAXMM@Z
>=99	99.960	99.960	100	1	SOURCE_ARGVAL	1.0	0	0	default/Mesh	??$_M_allocate_and_copy@PBVRndBone@@@?$vector@VRndBone@@V?$StlNodeAlloc@VRndBone@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVRndBone@@IPBV2@0@Z
>=99	99.960	99.960	100	1	SOURCE_ARGVAL	1.0	0	0	default/SkeletonClip	??$_M_allocate_and_copy@PBUMoveRating@SkeletonClip@@@?$vector@UMoveRating@SkeletonClip@@V?$StlNodeAlloc@UMoveRating@SkeletonClip@@@stlpmtx_std@@@stlpmtx_std@@IAAPAUMoveRating@SkeletonClip@@IPBU23@0@Z
>=99	99.960	99.960	100	1	SOURCE_ARGVAL	1.0	0	0	default/TransAnim	??$_M_allocate_and_copy@PBV?$Key@VVector3@@@@@?$vector@V?$Key@VVector3@@@@V?$StlNodeAlloc@V?$Key@VVector3@@@@@stlpmtx_std@@@stlpmtx_std@@IAAPAV?$Key@VVector3@@@@IPBV2@0@Z
>=99	99.960	99.960	100	1	SOURCE_ARGVAL	1.0	0	0	default/ButtonHolder	??$_M_allocate_and_copy@PBVActionRec@@@?$vector@VActionRec@@V?$StlNodeAlloc@VActionRec@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVActionRec@@IPBV2@0@Z
>=99	99.960	99.960	100	1	SOURCE_ARGVAL	1.0	0	0	default/PanelDir	??$_M_allocate_and_copy@PBVFilePath@@@?$vector@VFilePath@@V?$StlNodeAlloc@VFilePath@@@stlpmtx_std@@@stlpmtx_std@@IAAPAVFilePath@@IPBV2@0@Z
>=99	99.960	99.960	100	1	SOURCE_ARGVAL	1.0	0	0	default/MetaPanel	?NewObject@CharacterCreatorPanel@@SAPAVObject@Hmx@@XZ
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/BandCamShot	??$__uninitialized_fill_n@PAUDynamicPropertyEntry@Flow@@IU12@@stlpmtx_std@@YAPAUDynamicPropertyEntry@Flow@@PAU12@IABU12@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	1	0	default/MemHeap	?MemFindAddrHeap@@YAHPAX@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/DepthBuffer3D	??$__uninitialized_fill_n@PAV?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@IV12@@stlpmtx_std@@YAPAV?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@0@PAV10@IABV10@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/MeshAnim	??4?$ObjVector@VConstraint@BandIKEffector@@@@QAAXABV0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/HamCamTransform	??$__uninitialized_fill_n@PAUNavItem@HamNavProvider@@IU12@@stlpmtx_std@@YAPAUNavItem@HamNavProvider@@PAU12@IABU12@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/HamCamTransform	??$__uninitialized_fill_n@PAUDistEntry@@IU1@@stlpmtx_std@@YAPAUDistEntry@@PAU1@IABU1@ABU__false_type@0@@Z
>=99	99.958	99.958	384	4	SOURCE_ARGVAL	1.0	2	2	default/Mesh	?GetDistanceToPlane@RndMesh@@UAAMABVPlane@@AAVVector3@@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/Mesh	??$__uninitialized_fill_n@PAV?$list@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@IV12@@stlpmtx_std@@YAPAV?$list@HV?$StlNodeAlloc@H@stlpmtx_std@@@0@PAV10@IABV10@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/Morph	??$__uninitialized_fill_n@PAULocalizedName@HamMove@@IU12@@stlpmtx_std@@YAPAULocalizedName@HamMove@@PAU12@IABU12@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/PracticeSection	??$__uninitialized_fill_n@PAVPracticeStep@@IV1@@stlpmtx_std@@YAPAVPracticeStep@@PAV1@IABV1@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/ByteGrinder	??$__uninitialized_fill_n@PAUMoveRating@SkeletonClip@@IU12@@stlpmtx_std@@YAPAUMoveRating@SkeletonClip@@PAU12@IABU12@ABU__false_type@0@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/LabelShrinkWrapper	?Save@LabelShrinkWrapper@@UAAXAAVBinStream@@@Z
>=99	99.958	99.958	96	1	SOURCE_ARGVAL	1.0	0	0	default/HolmesClient	??$__uninitialized_fill_n@PAURecurseInfo@@IU1@@stlpmtx_std@@YAPAURecurseInfo@@PAU1@IABU1@ABU__false_type@0@@Z
