obj	obj_conf	unit_suggest	unit_src	cls	label_votes	label_conf	n_fns	n_template	n_arbitrary	n_objres	span_lo	span_hi	span_bytes	owned_bytes	overlap_pinned	overlap_sibling	flags
xaudio2:oapmatrixmix.obj	1.000	xdk/xaudio2/oapmatrixmix.cpp	DC3	OAPIPELINE	4	1.000	4	0	0	4	0x82BC8260	0x82BC92AC	4172	4168	0	0	-
xgraphics:surface.obj	1.000	xdk/xgraphics/surface.cpp	DC3	XGRAPHICS	3	0.375	8	0	0	8	0x829321B0	0x82933154	4004	3988	0	0	-
d3dx9:cvsprogram.obj	1.000	xdk/d3dx9/cvsprogram.cpp	DC3	CVSProgram	3	1.000	3	0	0	3	0x82929B80	0x8292AA70	3824	3824	0	0	-
xgraphics:compress.obj	1.000	xdk/xgraphics/compress.cpp	DC3	Reference,TNode,Assembler	4	0.400	10	0	0	10	0x82A68050	0x82A68F38	3816	3800	0	0	-
d3dx9:cassembler.obj	1.000	xdk/d3dx9/cassembler.cpp	DC3	D3DXShader,CAssembler,CFragmentRegisterAllocator	5	0.417	12	0	0	12	0x8288F148	0x82890040	3832	3796	0	0	-
xhv2:localtalker.obj	1.000	xdk/xhv2/localtalker.cpp	DC3	-	0	0.000	12	0	0	12	0x82C1AA48	0x82C1B8FC	3764	3752	0	0	-
d3dx9:cpsprogram.obj	1.000	xdk/d3dx9/cpsprogram.cpp	DC3	CPSProgram	4	1.000	4	0	0	4	0x82917490	0x82918334	3748	3736	0	0	-
xaudio2:oapreverb.obj	1.000	xdk/xaudio2/oapreverb.cpp	DC3	OAPIPELINE	2	0.333	6	0	0	6	0x82BE1A30	0x82BE28C4	3732	3724	0	0	-
xgraphics:import.obj	1.000	xdk/xgraphics/import.cpp	DC3	Compiler,ResultStackEnumerator,MatrixAccessor	9	0.562	16	1	0	16	0x829E7D20	0x829E8B3C	3612	3588	0	0	-
xgraphics:main.obj	1.000	xdk/xgraphics/main.cpp	DC3	Compiler,CompilerHeap,D3DXShader	7	0.500	14	0	0	14	0x82944F00	0x82945D68	3688	3584	0	0	-
d3dx9:cparse.obj	1.000	xdk/d3dx9/cparse.cpp	DC3	CParse	3	1.000	3	0	0	3	0x82904FC0	0x82905D64	3492	3488	0	0	-
xaudio2:strmdec_wma_xenon.obj	1.000	xdk/xaudio2/strmdec_wma_xenon.cpp	DC3	xWMA	4	1.000	4	0	0	4	0x82C06AE8	0x82C07874	3468	3460	0	0	-
xhv2:micproxy.obj	1.000	xdk/xhv2/micproxy.cpp	DC3	-	0	0.000	9	0	0	9	0x82C1E9A8	0x82C1F6C4	3356	3348	0	0	-
xaudio2:strmdec_wma.obj	1.000	xdk/xaudio2/strmdec_wma.cpp	DC3	xWMA	14	1.000	14	0	0	14	0x82BFC4A0	0x82BFD1C0	3360	3332	0	0	-
d3dx9:c30program.obj	1.000	xdk/d3dx9/c30program.cpp	DC3	C30Program	8	0.800	10	0	0	10	0x828E1F00	0x828E2BE0	3296	3276	0	0	-
xhv2:jitter.obj	1.000	xdk/xhv2/jitter.cpp	DC3	-	0	0.000	11	0	0	11	0x82C17E98	0x82C18B78	3296	3260	0	0	-
LIBCMT:frame.obj	1.000	xdk/LIBCMT/frame.cpp	DC3	-	0	0.000	9	0	0	9	0x82830FF8	0x82831CF8	3328	3224	0	0	-
d3dx9:cuassembler.obj	1.000	xdk/d3dx9/cuassembler.cpp	DC3	D3DXShader,CUAssembler	7	0.583	12	0	0	12	0x828B7138	0x828B7E08	3280	3200	0	0	-
xgraphics:vreginfo.obj	1.000	xdk/xgraphics/vreginfo.cpp	DC3	-	0	0.000	11	0	0	11	0x82A578A0	0x82A5852C	3212	3184	0	0	-
xgraphics:regopt.obj	1.000	xdk/xgraphics/regopt.cpp	DC3	Instruction,Compiler,D3DXShader	6	0.300	20	6	0	20	0x82966FA0	0x82967C2C	3212	3176	0	0	-
d3dx9:cinstruction.obj	1.000	xdk/d3dx9/cinstruction.cpp	DC3	CInstruction	17	0.850	20	0	0	20	0x828E4B48	0x828E57C8	3200	3152	0	0	-
d3dx9:cpreprocessor.obj	1.000	xdk/d3dx9/cpreprocessor.cpp	DC3	CPreProcessor,CPPInclude	10	0.909	11	0	0	11	0x82887F18	0x82888B74	3164	3148	0	0	-
xgraphics:r500assembler.obj	1.000	xdk/xgraphics/ucode/driver/r500assembler.cpp	MAIN	XGRAPHICS,ConstantRenumberingTable,FixSerializationContext	6	0.667	9	0	0	9	0x8293F868	0x829404BC	3156	3136	0	0	-
d3dx9:ccodec.obj	1.000	xdk/d3dx9/ccodec.cpp	DC3	CCodecDXT	3	0.500	6	0	0	6	0x82886170	0x82886DB4	3140	3132	0	0	-
xhv2:voicechat.obj	1.000	xdk/xhv2/voicechat.cpp	DC3	-	0	0.000	13	0	0	13	0x82C15708	0x82C16330	3112	3080	0	0	-
xgraphics:ccodec.obj	1.000	xdk/xgraphics/ccodec.cpp	DC3	CCodec	1	0.333	3	0	0	3	0x82A09C80	0x82A0A86C	3052	3052	0	0	-
xgraphics:ccodec.obj	1.000	xdk/xgraphics/ccodec.cpp	DC3	CCodecDXT	3	0.750	4	0	0	4	0x82A09008	0x82A09BE0	3032	3028	0	0	-
d3dx9:cvsprogram.obj	1.000	xdk/d3dx9/cvsprogram.cpp	DC3	CVSProgram	4	1.000	4	0	0	4	0x82928F50	0x82929B20	3024	3020	0	0	-
xgraphics:volume.obj	1.000	xdk/xgraphics/volume.cpp	DC3	XGRAPHICS	2	0.333	6	0	0	6	0x82934FE0	0x82935BA8	3016	3008	0	0	-
d3dx9:cpreprocessor.obj	1.000	xdk/d3dx9/cpreprocessor.cpp	DC3	CPreProcessor	7	1.000	7	0	0	7	0x82889FB8	0x8288AB34	2940	2932	0	0	-
xinput2:xinput2.obj	1.000	xdk/xinput2/xinput2.cpp	DC3	-	0	0.000	14	0	0	14	0x8284E2F0	0x8284EE64	2932	2900	0	0	-
LIBCMT:cvt.obj	1.000	xdk/LIBCMT/cvt.cpp	DC3	-	0	0.000	7	0	0	7	0x8282FBF8	0x82830770	2936	2896	0	0	-
d3dx9:ccodec.obj	1.000	xdk/d3dx9/ccodec.cpp	DC3	CCodec	1	0.333	3	0	0	3	0x82886E08	0x82887930	2856	2856	0	0	-
