# sympair queue -- rows realizable by relocation-NAME correction alone.
# Generated by tools/sympair_queue.py (lane W7-SYMPAIR, from W2-ENGINE's charged.py/sweep.py).
# ⚠ A pair here is EITHER a wrong map name (fixable, pays) OR an ICF fold
#   (irreducible). The metric CANNOT separate them -- adjudicate on retail
#   bytes with tools/retail_callers.py using tgt_addr below.
# size_if_it_crosses = bytes this row adds to matched_code IF every pair is fixed.
# pair_class: FOLD_FANIN=irreducible ICF survivor · RECIPROCAL=transposed
#   map bijection (a fold cannot transpose across two addresses) ·
#   OURS_UNMAPPED=our callee has no retail address (identification backlog).
# map_arbitrary: target addr is in the map's own _bijection_arbitrary/_icf_arbitrary list.
size	fuzzy	mpn	class	pair_class	map_arbitrary	unit	categories	symbol	n_pairs	sites	tgt_addr	target_symbol	our_symbol
3564	99.98316	100.000	SYMPAIR_ONLY_3	FOLD_FANIN	no	default/BandUI	game	?Handle@BandUI@@UAA?AVDataNode@@PAVDataArray@@_N@Z	3	1	0x825390e0	?OnMsg@BandUI@@QAA?AVDataNode@@ABVUIComponentSelectMsg@@@Z	?OnMsg@BandUI@@QAA?AVDataNode@@ABVButtonUpMsg@@@Z
3564	99.98316	100.000	SYMPAIR_ONLY_3	FOLD_FANIN	no	default/BandUI	game	?Handle@BandUI@@UAA?AVDataNode@@PAVDataArray@@_N@Z	3	1	0x825390e0	?OnMsg@BandUI@@QAA?AVDataNode@@ABVUIComponentSelectMsg@@@Z	?OnMsg@BandUI@@QAA?AVDataNode@@ABVUIComponentFocusChangeMsg@@@Z
3492	99.98855	100.000	SYMPAIR_ONLY_2	OURS_UNMAPPED	no	default/Tour	game	?Handle@Tour@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x8235bbf8	??0Tour@@QAA@PAVDataArray@@ABVSongMgr@@AAVBandUserMgr@@_N@Z	?InitializeTour@Tour@@QAAXXZ
3492	99.98855	100.000	SYMPAIR_ONLY_2	OURS_UNMAPPED	no	default/Tour	game	?Handle@Tour@@UAA?AVDataNode@@PAVDataArray@@_N@Z	2	1	0x8235cd38	?GetConclusionText@Tour@@QBA?AVSymbol@@XZ	?GetTourGigGuideMap@Tour@@QBA?AVSymbol@@XZ
3112	99.96144	100.000	SYMPAIR_ONLY_6	FOLD_FANIN	no	default/PlatformMgr	engine	?Handle@PlatformMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z	6	1	0x826c3888	??$?0H@?$StlNodeAlloc@V?$_List_node@H@stlpmtx_std@@@stlpmtx_std@@QAA@ABV?$StlNodeAlloc@H@1@@Z	?CheckMailbox@PlatformMgr@@QAAXXZ
3112	99.96144	100.000	SYMPAIR_ONLY_6	FOLD_FANIN	no	default/PlatformMgr	engine	?Handle@PlatformMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z	6	1	0x826c3888	??$?0H@?$StlNodeAlloc@V?$_List_node@H@stlpmtx_std@@@stlpmtx_std@@QAA@ABV?$StlNodeAlloc@H@1@@Z	?RunNetStartUtility@PlatformMgr@@QAAXXZ
3112	99.96144	100.000	SYMPAIR_ONLY_6	OURS_UNMAPPED	no	default/PlatformMgr	engine	?Handle@PlatformMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z	6	1	0x8251c170	??1?$ObjPtr@VMoggClip@@@@UAA@XZ	?EnableXMP@PlatformMgr@@QAAXXZ
3112	99.96144	100.000	SYMPAIR_ONLY_6	RECIPROCAL	yes	default/PlatformMgr	engine	?Handle@PlatformMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z	6	1	0x82514cb8	?InviteUserParty@PlatformMgr@@QAAXPBVLocalUser@@@Z	?ShowUserFriendsUI@PlatformMgr@@QAAXPBVLocalUser@@@Z
3112	99.96144	100.000	SYMPAIR_ONLY_6	UNKNOWN	yes	default/PlatformMgr	engine	?Handle@PlatformMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z	6	1	0x82514d00	?IsUserAGuest@PlatformMgr@@QBA_NPBVLocalUser@@@Z	?ShowOfferUI@PlatformMgr@@QAAXPBVLocalUser@@@Z
3112	99.96144	100.000	SYMPAIR_ONLY_6	RECIPROCAL	yes	default/PlatformMgr	engine	?Handle@PlatformMgr@@UAA?AVDataNode@@PAVDataArray@@_N@Z	6	1	0x82514d90	?ShowUserFriendsUI@PlatformMgr@@QAAXPBVLocalUser@@@Z	?InviteUserParty@PlatformMgr@@QAAXPBVLocalUser@@@Z
