unit	sym	billed	fuzzy	mpn	cls	n_charged	same_opcode_multiset	argkinds	src
default/CharHair	?SimulateInternal@CharHair@@IAAXM@Z	2472	96.17314	96.58576	SOURCE_INSDEL	64	False	{'register': 49, 'branchdest': 1, 'relocname': 1, 'immediate': 10}	src/system/char/CharHair.cpp
default/Part	?Load@RndParticleSys@@UAAXAAVBinStream@@@Z	2436	95.584564	96.0115	SOURCE_INSDEL	93	False	{'immediate': 49, 'register': 52, 'opcode': 3}	src/system/rndobj/Part.cpp
default/BandWardrobe	?SyncProperty@BandWardrobe@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	2416	99.74338	99.834435	SOURCE_INSDEL	12	False	{'register': 8, 'branchdest': 3}	src/system/bandobj/BandWardrobe.cpp
default/FileMerger	?Poll@CharIKHand@@UAAXXZ	2364	98.260574	98.675125	SOURCE_INSDEL	40	False	{'opcode': 3, 'register': 49, 'immediate': 3, 'relocname': 4}	src/system/char/FileMerger.cpp
default/VocalPlayer	?HandlePhraseEnd@VocalPlayer@@QAAXM@Z	2332	97.93654	98.57976	SOURCE_INSDEL	71	False	{'relocname': 2, 'register': 74, 'immediate': 8, 'opcode': 1}	src/band3/game/VocalPlayer.cpp
default/VocalTrack	?RebuildHUD@VocalTrack@@QAAXXZ	2188	90.44972	91.59232	SOURCE_INSDEL	141	False	{'relocname': 8, 'immediate': 35, 'register': 118, 'branchdest': 1, 'opcode': 6}	src/band3/bandtrack/VocalTrack.cpp
default/BandCharacter	??0BandCharacter@@QAA@XZ	2180	77.96514	78.67156	SOURCE_INSDEL	208	False	{'register': 75, 'relocname': 13, 'immediate': 25, 'opcode': 40}	src/system/bandobj/BandCharacter.cpp
default/BandCharacter	?OnSetFileMerger@BandCharacter@@QAA?AVDataNode@@PAVDataArray@@@Z	2156	99.19295	99.2115	SOURCE_INSDEL	8	False	{'branchdest': 1, 'opcode': 2, 'register': 1, 'relocname': 1}	src/system/bandobj/BandCharacter.cpp
default/FFT	?fft_recursive@@YAHPAMKJ0@Z	2128	0.0	0.0	NO_BODY/stub	532	False	{}	src/system/synth_xbox/FFT.cpp
default/system/obj/Dir	?Save@ObjectDir@@UAAXAAVBinStream@@@Z	2108	90.74763	92.12334	SOURCE_INSDEL	168	False	{'register': 138, 'immediate': 12, 'branchdest': 7, 'relocname': 10, 'opcode': 3}	src/system/obj/Dir.cpp
