unit	sym	billed	fuzzy	mpn	cls	n_charged	same_opcode_multiset	argkinds	src
default/SoftParticleBuffer	?BlurSurface@RndSoftParticleBuffer@@AAAXXZ	660	66.10909	68.77576	SOURCE_INSDEL	116	False	{'relocname': 14, 'immediate': 7, 'register': 83, 'opcode': 4, 'branchdest': 1}	src/system/rndobj/SoftParticleBuffer.cpp
default/BandCharacter	?OnPostMerge@BandCharacter@@QAA?AVDataNode@@PAVDataArray@@@Z	656	83.32317	83.53658	SOURCE_INSDEL	33	False	{'relocname': 2, 'register': 5}	src/system/bandobj/BandCharacter.cpp
default/SongData	?UnflipGems@SongData@@QAAXHHH@Z	656	95.70122	96.79878	SOURCE_INSDEL	43	False	{'opcode': 2, 'register': 36, 'immediate': 5}	src/system/beatmatch/SongData.cpp
default/BandCrowdMeter	?Poll@BandCrowdMeter@@UAAXXZ	652	95.71779	96.760735	SOURCE_INSDEL	44	False	{'relocname': 3, 'immediate': 8, 'register': 31, 'opcode': 2}	src/system/bandobj/BandCrowdMeter.cpp
default/UIListState	?Scroll@UIListState@@QAAXH_N@Z	652	84.190186	84.74233	SOURCE_INSDEL	43	False	{'branchdest': 7, 'opcode': 3, 'register': 10, 'immediate': 2}	src/system/ui/UIListState.cpp
default/Rnd_Xbox	?FinishPostProcess@DxRnd@@AAAXXZ	652	49.398773	50.380367	SOURCE_INSDEL	117	False	{'opcode': 8, 'immediate': 8, 'register': 31, 'relocname': 6}	src/system/rnddx9/Rnd_Xbox.cpp
default/BandSongMgr	?AddSongData@BandSongMgr@@UAAXPAVDataArray@@AAV?$hash_map@HPAVSongMetadata@@U?$hash@H@stlpmtx_std@@U?$equal_to@H@3@V?$StlNodeAlloc@U?$pair@$$CBHPAVSongMetadata@@@stlpmtx_std@@@3@@stlpmtx_std@@PBDW4ContentLocT@@AAV?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@4@@Z	652	99.60123	99.631905	SOURCE_ARG(imm/opcode/branch)	2	False	{'opcode': 1, 'relocname': 1}	src/band3/meta_band/BandSongMgr.cpp
default/BandDirector	?OnGetFaceOverrideClips@BandDirector@@QAA?AVDataNode@@PAVDataArray@@@Z	648	99.07407	99.25926	SOURCE_ARG(imm/opcode/branch)	7	True	{'register': 3, 'immediate': 1, 'branchdest': 1, 'relocname': 3}	src/system/bandobj/BandDirector.cpp
default/BaseMaterial	??0RndMat@@IAA@XZ	648	84.98148	85.35185	SOURCE_INSDEL	41	False	{'immediate': 13, 'register': 11, 'opcode': 1, 'relocname': 1}	src/system/rndobj/BaseMaterial.cpp
default/SongInfoCopy	??0SongInfoCopy@@QAA@XZ	648	44.253086	46.25926	SOURCE_INSDEL	147	False	{'relocname': 5, 'immediate': 6, 'register': 63}	src/system/utl/SongInfoCopy.cpp
default/system/rndobj/Rnd	?DrawPreClear@Rnd@@MAAXXZ	640	79.80625	81.0875	SOURCE_INSDEL	73	False	{'relocname': 3, 'register': 39, 'opcode': 3, 'immediate': 19, 'branchdest': 1}	src/system/rndobj/Rnd.cpp
default/BandCharDesc	?CopyCharDesc@BandCharDesc@@QAAXPBV1@@Z	636	96.30189	97.46541	SOURCE_INSDEL	31	False	{'relocname': 2, 'immediate': 3, 'register': 35}	src/system/bandobj/BandCharDesc.cpp
default/Mic	?ProcessChatData@ChatReceiver@@AAAXPAXIPAH@Z	636	91.93082	93.691826	SOURCE_INSDEL	59	False	{'register': 56, 'relocname': 7, 'immediate': 3, 'opcode': 5}	src/system/synth_xbox/Mic.cpp
default/AsyncFile	?PrintDiscFile@@YAXPBD@Z	632	96.582275	96.70886	SOURCE_INSDEL	9	False	{'relocname': 2, 'opcode': 2, 'register': 2, 'immediate': 1}	src/system/os/AsyncFile.cpp
default/DirLoader	?OpenFile@DirLoader@@AAAXXZ	632	2.0949366	3.012658	SOURCE_INSDEL	182	False	{'immediate': 9, 'register': 24, 'branchdest': 2, 'relocname': 5, 'opcode': 11}	src/system/obj/DirLoader.cpp
default/MemHeap	?Print@MemHeap@@QAAXAAVTextStream@@_N@Z	624	98.01282	99.23077	SOURCE_ARG(imm/opcode/branch)	36	True	{'register': 38, 'relocname': 3, 'opcode': 2}	src/system/utl/MemHeap.cpp
default/PropKeys	?SetFrame@FloatKeys@@UAAXMM@Z	620	99.96129	99.96129	SOURCE_ARG(imm/opcode/branch)	6	True	{'immediate': 6}	src/system/rndobj/PropKeys.cpp
default/StreakMeter	?PreLoad@StreakMeter@@UAAXAAVBinStream@@@Z	616	59.396103	59.85065	SOURCE_INSDEL	87	False	{'relocname': 5, 'immediate': 3, 'opcode': 23, 'register': 9}	src/system/bandobj/StreakMeter.cpp
default/TourDescPanel	?Mat@TourDescProvider@@UBAPAVRndMat@@HHPAVUIListMesh@@@Z	616	65.954544	66.24675	SOURCE_INSDEL	72	False	{'immediate': 13, 'register': 7, 'opcode': 8, 'relocname': 1}	src/band3/tour/TourDescPanel.cpp
default/CameraShot	?AddCrowdChars@CamShotCrowd@@QAAXPBV?$list@U?$pair@PAVRndMultiMesh@@U?$_List_iterator@UInstance@RndMultiMesh@@U?$_Nonconst_traits@UInstance@RndMultiMesh@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@PAVRndMultiMesh@@U?$_List_iterator@UInstance@RndMultiMesh@@U?$_Nonconst_traits@UInstance@RndMultiMesh@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@@Z	616	97.954544	98.05195	SOURCE_INSDEL	6	False	{'branchdest': 1, 'relocname': 2}	src/system/world/CameraShot.cpp
default/StandardStream	?ConsumeData@StandardStream@@QAAHPAPAXHH@Z	616	96.27922	96.7013	SOURCE_INSDEL	25	False	{'relocname': 2, 'immediate': 8, 'register': 11}	src/system/synth/StandardStream.cpp
default/Geo	?Update@BSPFace@@QAAXXZ	612	97.79085	99.26144	SOURCE_INSDEL	37	False	{'relocname': 2, 'immediate': 13, 'register': 43}	src/system/math/Geo.cpp
default/CharLipSyncDriver	??0CharLipSyncDriver@@IAA@XZ	612	98.588234	98.68627	CODEGEN_ORDERING	5	True	{'register': 3, 'relocname': 2, 'immediate': 1}	src/system/char/CharLipSyncDriver.cpp
default/CrowdAudio	??0CrowdAudio@@QAA@XZ	608	86.64474	86.94079	SOURCE_INSDEL	29	False	{'opcode': 8, 'register': 8, 'immediate': 5, 'relocname': 1}	src/system/bandobj/CrowdAudio.cpp
default/AmbientOcclusion	?CalculateAOAtPoint@RndAmbientOcclusion@@IBAXABVVector3@@0PAM@Z	608	74.197365	76.17105	SOURCE_INSDEL	86	False	{'relocname': 14, 'immediate': 5, 'register': 54, 'opcode': 12}	src/system/rndobj/AmbientOcclusion.cpp
default/BandDirector	?EnterVenue@BandDirector@@QAAXXZ	604	61.43046	63.119205	SOURCE_INSDEL	102	False	{'relocname': 12, 'immediate': 10, 'register': 46, 'opcode': 9, 'branchdest': 2}	src/system/bandobj/BandDirector.cpp
default/band3/bandtrack/Track	?Poll@Track@@UAAXM@Z	604	95.039734	97.3245	CODEGEN_ORDERING	70	True	{'relocname': 3, 'immediate': 4, 'register': 66}	src/band3/bandtrack/Track.cpp
default/Gen	??0RndGenerator@@IAA@XZ	596	81.32215	81.69128	SOURCE_INSDEL	49	False	{'immediate': 8, 'register': 11, 'opcode': 12, 'relocname': 1}	src/system/rndobj/Gen.cpp
default/band3/meta_band/StoreMainPanel	?FinishLoad@StoreMainPanel@@UAAXXZ	592	99.324326	99.324326	SOURCE_INSDEL	1	False	{}	src/band3/meta_band/StoreMainPanel.cpp
default/system/synth_xbox/Synth	?SetupHeadsetSubmixes@Synth360@@AAAXXZ	588	85.95238	86.56463	CODEGEN_ORDERING	41	True	{'relocname': 1, 'opcode': 6, 'register': 17, 'immediate': 15}	src/system/synth_xbox/Synth.cpp
default/SpotlightDrawer_NG	?RenderScene@NgSpotlightDrawer@@QAAXXZ	588	99.58504	99.58504	SOURCE_ARG(imm/opcode/branch)	2	False	{'opcode': 1, 'immediate': 1}	src/system/world/SpotlightDrawer_NG.cpp
default/band3/game/RGTrainerPanel	?Handle@RGTrainerPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	588	95.2381	95.5102	SOURCE_INSDEL	11	False	{'register': 8, 'opcode': 1}	src/band3/game/RGTrainerPanel.cpp
default/PitchArrow	?SyncObjects@PitchArrow@@UAAXXZ	588	96.462585	96.462585	CODEGEN_ORDERING	6	True	{'opcode': 2}	src/system/bandobj/PitchArrow.cpp
default/PropKeys	?SetFrame@Vector3Keys@@UAAXMM@Z	584	98.41781	98.4863	SOURCE_INSDEL	4	False	{'register': 2, 'immediate': 1, 'opcode': 2}	src/system/rndobj/PropKeys.cpp
default/MetaMusic	?Start@MetaMusic@@QAAXXZ	584	99.99315	99.99315	SOURCE_ARG(imm/opcode/branch)	1	True	{'immediate': 1}	src/system/synth/MetaMusic.cpp
default/band3/meta_band/ViewSetting	?FilterTypeToSym@FilterViewSetting@@SA?AVSymbol@@W4FilterType@@@Z	580	96.31035	96.37931	SOURCE_INSDEL	9	False	{'opcode': 7}	src/band3/meta_band/ViewSetting.cpp
default/Shader	?CalcShaderOpts@RndShaderPostProc@@MAA_KPAVNgMat@@W4ShaderType@@_N@Z	572	12.881119	16.167831	SOURCE_INSDEL	198	False	{'relocname': 2, 'register': 84, 'immediate': 49, 'opcode': 14}	src/system/rndobj/Shader.cpp
default/system/rndobj/Utl	?BuildFromBSP@@YAXPAVRndMesh@@@Z	572	72.39161	74.76923	SOURCE_INSDEL	87	False	{'relocname': 3, 'immediate': 8, 'register': 66, 'opcode': 5}	src/system/rndobj/Utl.cpp
default/SongSortMgr	?DoesSongMatchFilter@SongSortMgr@@QBA_NHPBVSongFilter@1@VSymbol@@@Z	568	97.02817	97.169014	SOURCE_INSDEL	10	False	{'immediate': 2, 'branchdest': 1, 'relocname': 2, 'register': 1}	src/band3/meta_band/SongSortMgr.cpp
default/rtti	?FindVITargetTypeInstance@@YAPBU_s_RTTIBaseClassDescriptor@@PAXPBU_s_RTTICompleteObjectLocator@@PAUTypeDescriptor@@H2@Z	568	0.0	0.0	NO_BODY/stub	142	False	{}	src/xdk/LIBCMT/rtti.cpp
default/Anim	?SyncObjects@RndDir@@UAAXXZ	564	32.96454	35.411346	SOURCE_INSDEL	165	False	{'relocname': 7, 'immediate': 18, 'register': 62, 'opcode': 21, 'branchdest': 1}	src/system/rndobj/Anim.cpp
default/CameraShot	?LoadSubPart@@YAPAVRndTransformable@@AAVBinStreamRev@@PAVCamShot@@@Z	560	93.49286	93.564285	SOURCE_INSDEL	12	False	{'immediate': 1, 'register': 1, 'relocname': 1}	src/system/world/CameraShot.cpp
default/Mesh	?FillCompressedVertex@@YAXAAUCompressedVertex_Xbox@@ABVVert@RndMesh@@_N@Z	556	99.84892	99.95683	SOURCE_ARG(imm/opcode/branch)	8	True	{'immediate': 6, 'register': 3}	src/system/rndobj/Mesh.cpp
default/SpotlightDrawer	?DrawWorld@SpotlightDrawer@@MAAXXZ	556	98.34532	98.56115	CODEGEN_ORDERING	8	True	{'register': 6, 'relocname': 3}	src/system/world/SpotlightDrawer.cpp
default/Spotlight	?Poll@Spotlight@@UAAXXZ	556	96.48921	96.95683	SOURCE_INSDEL	20	False	{'relocname': 2, 'immediate': 3, 'register': 9, 'opcode': 2}	src/system/world/Spotlight.cpp
default/AccomplishmentPanel	?GetCareerLevel@AccomplishmentGroupProvider@@QBA?AVSymbol@@M@Z	556	94.7482	94.96403	SOURCE_INSDEL	13	False	{'register': 6, 'relocname': 1}	src/band3/meta_band/AccomplishmentPanel.cpp
default/CameraShot	?StartAnim@CamShot@@UAAXXZ	552	8.413043	8.884058	SOURCE_INSDEL	141	False	{'immediate': 9, 'opcode': 1, 'register': 12}	src/system/world/CameraShot.cpp
default/Shader	?CalcShaderOpts@RndShaderParticles@@MAA_KPAVNgMat@@W4ShaderType@@_N@Z	544	38.558823	40.580883	SOURCE_INSDEL	131	False	{'relocname': 4, 'immediate': 17, 'opcode': 14, 'register': 40, 'branchdest': 2}	src/system/rndobj/Shader.cpp
default/AmbientOcclusion	?BlendVert@RndAmbientOcclusion@@SAXABVVert@RndMesh@@0AAV23@@Z	544	55.955883	59.375	SOURCE_INSDEL	127	False	{'register': 92, 'relocname': 2, 'immediate': 46, 'opcode': 8}	src/system/rndobj/AmbientOcclusion.cpp
default/NetworkEmulator	??0NetworkEmulator@@QAA@XZ	544	48.169117	48.830883	SOURCE_INSDEL	97	False	{'relocname': 6, 'immediate': 14, 'register': 15, 'opcode': 4}	src/network/net/NetworkEmulator.cpp
default/system/rndobj/Utl	?SetBloomBlurWeightsStreak@@YAX_NMMMHM@Z	540	84.4963	85.01482	SOURCE_INSDEL	36	False	{'relocname': 3, 'register': 12, 'immediate': 3, 'opcode': 2}	src/system/rndobj/Utl.cpp
default/Group	??0RndGroup@@IAA@XZ	540	95.55556	95.666664	SOURCE_INSDEL	15	False	{'immediate': 5, 'register': 3, 'opcode': 3}	src/system/rndobj/Group.cpp
default/osfinfo	_alloc_osfhnd	536	0.0	0.0	NO_BODY/stub	134	False	{}	src/xdk/LIBCMT/osfinfo.cpp
default/system/rndobj/Rnd	??0Rnd@@QAA@XZ	532	94.68421	94.68421	SOURCE_INSDEL	14	False	{'immediate': 7}	src/system/rndobj/Rnd.cpp
default/system/obj/Dir	?ResetViewports@ObjectDir@@QAAXXZ	532	98.30827	98.646614	SOURCE_ARG(imm/opcode/branch)	12	False	{'register': 9, 'relocname': 2, 'opcode': 3}	src/system/obj/Dir.cpp
default/VocalTrackDir	?SetConfiguration@VocalTrackDir@@QAAXPAVObject@Hmx@@W4HarmonyShowingState@1@@Z	528	82.40151	82.55303	SOURCE_INSDEL	29	False	{'relocname': 2, 'immediate': 3, 'register': 2}	src/system/bandobj/VocalTrackDir.cpp
default/PitchCorrectedVoice	?GetCorrection@PitchCorrectedVoice@Synapse@DSP@@QAAMXZ	528	96.666664	97.72727	SOURCE_INSDEL	26	False	{'register': 28, 'relocname': 2}	src/system/synth_xbox/PitchCorrectedVoice.cpp
default/CharLookAt	??0CharLookAt@@IAA@XZ	528	73.30303	74.36364	SOURCE_INSDEL	62	False	{'register': 28, 'relocname': 12, 'immediate': 4, 'opcode': 8}	src/system/char/CharLookAt.cpp
default/VocalPart	?GetBestHit@VocalPart@@QAAMMHHPAVTalkyMatcher@@AAMMAAH211AA_N@Z	528	96.969696	96.969696	CODEGEN_ORDERING	4	True	{}	src/band3/game/VocalPart.cpp
default/BoxMap	?ApplyQueuedLights@BoxMapLighting@@QBAXPIAVColor@Hmx@@PBVVector3@@@Z	520	49.776924	56.123077	SOURCE_INSDEL	138	False	{'relocname': 8, 'immediate': 14, 'register': 153, 'branchdest': 2, 'opcode': 3}	src/system/rndobj/BoxMap.cpp
default/VocalTrack	?GetNextLyricPlate@VocalTrack@@QAAPAVLyricPlate@@AAV?$deque@PAVLyricPlate@@V?$StlNodeAlloc@PAVLyricPlate@@@stlpmtx_std@@@stlpmtx_std@@_N@Z	516	54.55814	56.10853	SOURCE_INSDEL	89	False	{'register': 39, 'opcode': 1, 'immediate': 2, 'relocname': 1}	src/band3/bandtrack/VocalTrack.cpp
default/Archive	?Merge@Archive@@QAAXAAV1@@Z	516	92.34884	94.36434	SOURCE_INSDEL	58	False	{'relocname': 3, 'immediate': 7, 'register': 49, 'opcode': 2}	src/system/os/Archive.cpp
default/OverdriveTracker	?TranslateRelativeTargets@OverdriveTracker@@UAAXXZ	516	98.79845	99.031006	SOURCE_ARG(imm/opcode/branch)	7	False	{'opcode': 2, 'register': 6}	src/band3/game/OverdriveTracker.cpp
default/VocalTrack	?Poll@VocalTrack@@UAAXM@Z	512	97.61719	97.65625	SOURCE_INSDEL	4	False	{'register': 1}	src/band3/bandtrack/VocalTrack.cpp
default/QuestFilterPanel	?Text@QuestFilterProvider@@UBAXHHPAVUIListLabel@@PAVUILabel@@@Z	512	0.0	2.7734375	NO_BODY/stub	211	False	{'immediate': 7, 'register': 56, 'relocname': 15, 'opcode': 20, 'branchdest': 8}	src/band3/tour/QuestFilterPanel.cpp
default/Geo	?Clip@@YAXABVPolygon@Hmx@@ABVRay@2@AAV12@@Z	512	97.609375	98.390625	SOURCE_INSDEL	20	False	{'register': 20, 'immediate': 6}	src/system/math/Geo.cpp
default/StorePanel	?UpdateOffers@StorePanel@@MAAHABV?$list@UEnumProduct@@V?$StlNodeAlloc@UEnumProduct@@@stlpmtx_std@@@stlpmtx_std@@_N@Z	512	84.02344	85.89844	SOURCE_INSDEL	59	False	{'register': 47, 'immediate': 5, 'opcode': 5, 'branchdest': 1}	src/system/meta/StorePanel.cpp
default/MemcardMgr_Xbox	?ThreadCall_SaveGame@MemcardMgr@@AAA?AW4MCResult@@XZ	508	87.480316	87.59843	SOURCE_INSDEL	19	False	{'opcode': 1}	src/system/meta/MemcardMgr_Xbox.cpp
default/TrackWatcherImpl	?Load@RndParticleSysAnim@@UAAXAAVBinStream@@@Z	508	68.125984	68.99213	SOURCE_INSDEL	83	False	{'immediate': 20, 'register': 11, 'opcode': 15, 'relocname': 5, 'branchdest': 1}	src/system/beatmatch/TrackWatcherImpl.cpp
default/FocusTracker	?GetNextFocusPlayer@FocusTracker@@UBA?AUTrackerPlayerID@@ABU2@MAA_N@Z	504	98.19841	98.19841	SOURCE_INSDEL	6	False	{'opcode': 2, 'immediate': 2}	src/band3/game/FocusTracker.cpp
default/CharForeTwist	?Poll@CharForeTwist@@UAAXXZ	504	89.333336	91.71429	CODEGEN_ORDERING	41	True	{'register': 58, 'immediate': 5, 'opcode': 4, 'relocname': 3}	src/system/char/CharForeTwist.cpp
default/Bitmap	?DecodeDxt5Alpha@@YAXPAEHHAAE@Z	504	75.60317	78.38095	SOURCE_INSDEL	97	False	{'register': 67, 'immediate': 39, 'opcode': 8, 'branchdest': 2}	src/system/rndobj/Bitmap.cpp
default/AmbientOcclusion	?FindSplit_Mean@kdTreeNode@?$kdTree@VTriangle@@@@QAA_NABVBox@@ABV?$list@PAVTriangle@@V?$StlNodeAlloc@PAVTriangle@@@stlpmtx_std@@@stlpmtx_std@@@Z	500	18.92	21.0	SOURCE_INSDEL	139	False	{'relocname': 2, 'immediate': 5, 'register': 45, 'opcode': 6, 'branchdest': 1}	src/system/rndobj/AmbientOcclusion.cpp
default/UIComponent	?SetTypeDef@UIComponent@@UAAXPAVDataArray@@@Z	500	82.296	82.896	SOURCE_INSDEL	32	False	{'branchdest': 1, 'opcode': 2, 'register': 11, 'immediate': 2}	src/system/ui/UIComponent.cpp
default/SpectralAnalysis	?Analyze@SpectralAnalysis@DSP@@QAAXPBMPAM@Z	496	70.40323	72.98387	SOURCE_INSDEL	77	False	{'register': 62, 'immediate': 4, 'opcode': 9, 'relocname': 2}	src/system/synth_xbox/SpectralAnalysis.cpp
default/AmbientOcclusion	?Intersect@?$kdTree@VTriangle@@@@QBA_NABVVector3@@0MAAM@Z	496	89.42742	90.03226	SOURCE_INSDEL	28	False	{'register': 10, 'relocname': 1, 'branchdest': 2, 'opcode': 2, 'immediate': 1}	src/system/rndobj/AmbientOcclusion.cpp
default/Waypoint	?ShapeDeltaBox@Waypoint@@AAAXABVVector3@@MMAAV2@@Z	496	99.08064	99.96774	SOURCE_ARG(imm/opcode/branch)	20	True	{'register': 22, 'immediate': 4}	src/system/char/Waypoint.cpp
default/CreditsPanel	?Handle@CreditsPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	496	97.451614	97.814514	CODEGEN_ORDERING	7	True	{'register': 4, 'immediate': 1, 'relocname': 1, 'opcode': 1}	src/system/meta/CreditsPanel.cpp
default/Trans	??0RndTransformable@@IAA@XZ	496	36.524193	38.05645	SOURCE_INSDEL	118	False	{'branchdest': 1, 'register': 36, 'relocname': 5, 'immediate': 22, 'opcode': 16}	src/system/rndobj/Trans.cpp
default/VelocityBuffer	?DrawMesh@RndVelocityBuffer@@QBAXPAVRndMesh@@@Z	492	72.78862	74.414635	SOURCE_INSDEL	70	False	{'relocname': 2, 'immediate': 7, 'register': 38, 'opcode': 14}	src/system/rndobj/VelocityBuffer.cpp
default/Anim	??0AnimTask@@QAA@PAVRndAnimatable@@MMM_NM@Z	492	80.560974	82.756096	SOURCE_INSDEL	65	False	{'register': 53, 'relocname': 3, 'opcode': 2, 'immediate': 1}	src/system/rndobj/Anim.cpp
default/BandPatchMesh	?AddUV@MeshVert@BandPatchMesh@@QAAHPBV12@ABVVector2@@PBV3@@Z	492	95.53658	96.06504	SOURCE_INSDEL	18	False	{'immediate': 4, 'register': 13, 'opcode': 3}	src/system/bandobj/BandPatchMesh.cpp
default/CharDriver	??0CharDriver@@IAA@XZ	488	85.83607	86.491806	SOURCE_INSDEL	37	False	{'register': 16, 'relocname': 7, 'immediate': 8, 'opcode': 4}	src/system/char/CharDriver.cpp
default/MoveMgr	?insert_unique@?$_Rb_tree@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@U?$pair@$$CBVSymbol@@H@3@U?$_Select1st@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA?AU?$_Rb_tree_iterator@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@priv@2@@2@U32@ABU?$pair@$$CBVSymbol@@H@2@@Z	488	93.27869	93.27869	SOURCE_INSDEL	11	False	{'opcode': 7}	src/system/hamobj/MoveMgr.cpp
default/MidiParser	?PushIdle@MidiParser@@AAAXMMHVSymbol@@@Z	484	98.016525	98.305786	SOURCE_INSDEL	14	False	{'immediate': 5, 'register': 6, 'relocname': 4}	src/system/midi/MidiParser.cpp
default/Archive	?Enumerate@Archive@@QAAXPBDP6AX00@Z_N0@Z	484	77.99174	79.975204	SOURCE_INSDEL	72	False	{'relocname': 3, 'register': 44, 'immediate': 3, 'opcode': 2, 'branchdest': 2}	src/system/os/Archive.cpp
default/VocalPart	?GetNoteSliceWeight@VocalPart@@QBAMMMH@Z	484	88.12397	90.31405	SOURCE_INSDEL	60	False	{'register': 51, 'immediate': 7, 'relocname': 12, 'opcode': 1}	src/band3/game/VocalPart.cpp
default/FileMerger	?Clear@Merger@FileMerger@@QAAXXZ	480	85.375	86.5	SOURCE_INSDEL	40	False	{'register': 27, 'relocname': 2, 'immediate': 2, 'branchdest': 1}	src/system/char/FileMerger.cpp
default/Rnd_Xbox	?ModalDraw@DxRnd@@MAAXW4ModalType@Debug@@PBD@Z	480	77.691666	79.275	SOURCE_INSDEL	54	False	{'relocname': 4, 'register': 32, 'opcode': 3, 'immediate': 5}	src/system/rnddx9/Rnd_Xbox.cpp
default/DataFile	?DataReadFile@@YAPAVDataArray@@PBD_N@Z	480	97.5	97.5	SOURCE_INSDEL	3	False	{}	src/system/obj/DataFile.cpp
default/ProfileMgr	?LoadGlobalOptions@ProfileMgr@@QAAXAAVFixedSizeSaveableStream@@@Z	480	67.25	69.541664	SOURCE_INSDEL	100	False	{'opcode': 24, 'immediate': 5, 'register': 52, 'relocname': 2}	src/band3/meta_band/ProfileMgr.cpp
default/system/bandobj/BandHeadShaper	?AddFrame@BandHeadShaper@@QAAXPBDHM@Z	480	60.633335	62.508335	SOURCE_INSDEL	84	False	{'register': 40, 'opcode': 8, 'immediate': 9}	src/system/bandobj/BandHeadShaper.cpp
default/CharFaceServo	??0CharFaceServo@@IAA@XZ	476	93.31933	93.44538	SOURCE_INSDEL	12	False	{'opcode': 3, 'register': 3, 'relocname': 1}	src/system/char/CharFaceServo.cpp
default/EQEffect	?Process@EQEffect@@QAAXPAMHH@Z	476	95.68908	98.21008	CODEGEN_ORDERING	60	True	{'register': 60, 'immediate': 13}	src/system/synth/EQEffect.cpp
default/SkeletonClip	?insert_unique@?$_Rb_tree@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@U?$pair@$$CBVSymbol@@PAVAward@@@3@U?$_Select1st@U?$pair@$$CBVSymbol@@PAVAward@@@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@PAVAward@@@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAward@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA?AU?$_Rb_tree_iterator@U?$pair@$$CBVSymbol@@PAVAward@@@stlpmtx_std@@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@PAVAward@@@stlpmtx_std@@@priv@2@@2@U32@ABU?$pair@$$CBVSymbol@@PAVAward@@@2@@Z	472	0.0	0.0	NO_BODY/stub	118	False	{}	src/system/gesture/SkeletonClip.cpp
default/band3/tour/GigFilter	?Init@GigFilter@@QAAXPBVDataArray@@@Z	472	59.75424	61.491524	CODEGEN_ORDERING	84	True	{'relocname': 17, 'register': 29, 'opcode': 9, 'branchdest': 2, 'immediate': 9}	src/band3/tour/GigFilter.cpp
default/band3/meta_band/SongSort	?GetUserFontChar@@YAPBDPAVBandUser@@PAVMetaPerformer@@H@Z	472	54.381355	55.90678	SOURCE_INSDEL	82	False	{'relocname': 6, 'immediate': 7, 'register': 32, 'branchdest': 1}	src/band3/meta_band/SongSort.cpp
default/Campaign	?insert_unique@?$_Rb_tree@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@U?$pair@$$CBVSymbol@@V1@@3@U?$_Select1st@U?$pair@$$CBVSymbol@@V1@@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@V1@@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V1@@stlpmtx_std@@@3@@stlpmtx_std@@QAA?AU?$_Rb_tree_iterator@U?$pair@$$CBVSymbol@@V1@@stlpmtx_std@@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@V1@@stlpmtx_std@@@priv@2@@2@U32@ABU?$pair@$$CBVSymbol@@V1@@2@@Z	472	0.0	0.0	NO_BODY/stub	118	False	{}	src/band3/meta_band/Campaign.cpp
default/TrackDir	??1TrackDir@@UAA@XZ	468	99.1453	99.1453	SOURCE_INSDEL	1	False	{}	src/system/track/TrackDir.cpp
default/DataNode	??8DataNode@@QBA_NABV0@@Z	464	98.23276	98.27586	SOURCE_INSDEL	3	False	{'relocname': 1}	src/system/obj/DataNode.cpp
default/DirLoader	??0DirLoader@@QAA@ABVFilePath@@W4LoaderPos@@PAVCallback@Loader@@PAVBinStream@@PAVObjectDir@@_N@Z	464	38.63793	39.88793	SOURCE_INSDEL	101	False	{'immediate': 13, 'register': 27, 'relocname': 4, 'opcode': 1}	src/system/obj/DirLoader.cpp
default/RockCentral	?DataPointToQString@RockCentral@@SAXABVDataPoint@@AAVString@Quazal@@@Z	460	89.55652	90.6	SOURCE_INSDEL	43	False	{'immediate': 21, 'register': 24, 'opcode': 1}	src/band3/net_band/RockCentral.cpp
default/Mesh	?SaveVertices@RndMesh@@UAAXAAVBinStream@@@Z	460	92.37392	92.63478	SOURCE_INSDEL	18	False	{'relocname': 2, 'immediate': 2, 'register': 6, 'opcode': 2}	src/system/rndobj/Mesh.cpp
default/SongSortMgr	?IntersectFilter@SongFilter@SongSortMgr@@QAAXPAV12@@Z	460	96.2	96.41739	SOURCE_INSDEL	19	False	{'immediate': 12, 'register': 5}	src/band3/meta_band/SongSortMgr.cpp
default/Env_NG	?EstimateDraw@@YAMH@Z	460	99.95652	99.95652	SOURCE_ARG(imm/opcode/branch)	5	True	{'immediate': 5}	src/system/rndobj/Env_NG.cpp
