unit,symbol,div_class,confidence,before_evidence,fuzzy,mpn,size,byte_identical,screen
default/BandPatchMesh,?resize@?$vector@VMeshFace@BandPatchMesh@@V?$StlNodeAlloc@VMeshFace@BandPatchMesh@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVMeshFace@BandPatchMesh@@@Z,object_memory,stable_divergent,divergent,12.52,13.83,92,0,SURVIVES_BOTH_SCREENS
default/BandSongMetadata,?Load@BandSongMetadata@@UAAXAAVBinStream@@@Z,call_count,stable_divergent,divergent,100.00,100.00,868,0,SURVIVES_BOTH_SCREENS
default/BandSongMetadata,?Rank@BandSongMetadata@@QBAMVSymbol@@@Z,call_count,stable_divergent,divergent,48.15,49.42,236,0,SURVIVES_BOTH_SCREENS
default/BandSongMgr,??0SongMgr@@QAA@XZ,call_arg,stable_divergent,divergent,82.28,83.97,260,0,SURVIVES_BOTH_SCREENS
default/BandSongMgr,?AddSongData@BandSongMgr@@UAAXPAVDataArray@@PAVDataLoader@@W4ContentLocT@@@Z,call_count,stable_divergent,divergent,66.08,67.79,152,0,SURVIVES_BOTH_SCREENS
default/BandSongMgr,?ClearSongCacheNeedsWrite@BandSongMgr@@UAAXXZ,call_count,stable_divergent,divergent,20.60,21.27,60,0,SURVIVES_BOTH_SCREENS
default/BandSongMgr,?IsDemo@BandSongMgr@@QBA_NH@Z,call_count,stable_divergent,divergent,98.54,98.54,164,0,SURVIVES_BOTH_SCREENS
default/BandSongMgr,?IsInExclusionList@BandSongMgr@@QBA_NPBDH@Z,unmapped_access_mismatch,stable_divergent,divergent,100.00,100.00,108,1,BYTE_IDENTICAL_ARTIFACT
default/BandSongMgr,?RankTierToken@BandSongMgr@@QBA?AVSymbol@@H@Z,call_count,stable_divergent,divergent,24.96,26.75,224,0,SURVIVES_BOTH_SCREENS
default/BandSongMgr,?ReadCachedMetadataFromStream@BandSongMgr@@UAAXAAVBinStream@@H@Z,call_count,stable_divergent,divergent,53.54,55.14,400,0,SURVIVES_BOTH_SCREENS
default/BandSongMgr,?SongCacheNeedsWrite@BandSongMgr@@UBA_NXZ,call_count,stable_divergent,divergent,88.75,88.96,96,0,SURVIVES_BOTH_SCREENS
default/BandUser,?GetLocalBandUser@LocalBandUser@@$4PPPPPPPM@A@AAPAV1@XZ,call_count,stable_divergent,divergent,100.00,100.00,12,1,BYTE_IDENTICAL_ARTIFACT
default/BandUser,?SyncProperty@BandUser@@$4PPPPPPPM@PPPPPPCE@AA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z,call_arg,stable_divergent,divergent,97.25,97.25,16,0,SURVIVES_BOTH_SCREENS
default/BandWardrobe,??0Merger@FileMerger@@QAA@PAVObject@Hmx@@@Z,call_count,stable_divergent,divergent,76.09,78.69,216,0,SURVIVES_BOTH_SCREENS
default/BandWardrobe,??1Merger@FileMerger@@QAA@XZ,object_memory,stable_divergent,divergent,99.42,99.42,104,0,SURVIVES_BOTH_SCREENS
default/BandWardrobe,?FindBestScoringHint@BandWardrobe@@QAAHPAVSymbol@@PAVSlotInfo@1@AAH@Z,call_count,stable_divergent,divergent,55.96,58.04,828,0,SURVIVES_BOTH_SCREENS
default/BandWardrobe,?OnEnterVignette@BandWardrobe@@QAA?AVDataNode@@PAVDataArray@@@Z,call_count,input_sensitive,divergent,89.40,90.60,1692,0,SURVIVES_BOTH_SCREENS
default/Bitmap,?Load@RndBitmap@@QAAXAAVBinStream@@@Z,error,stable_divergent,divergent,100.00,100.00,376,0,SURVIVES_BOTH_SCREENS
default/Bitmap,?LoadHeader@RndBitmap@@AAAAAVBinStream@@AAV2@AAE@Z,error,stable_divergent,divergent,49.98,50.63,216,0,SURVIVES_BOTH_SCREENS
default/ButtonHolder,??0?$vector@VActionRec@@V?$StlNodeAlloc@VActionRec@@@stlpmtx_std@@@stlpmtx_std@@QAA@ABV01@@Z,call_arg,stable_divergent,divergent,99.83,99.83,120,0,SURVIVES_BOTH_SCREENS
default/Cache_Xbox,?ThreadGetDir@CacheXbox@@IAAHVString@@0@Z,call_count,input_sensitive,divergent,100.00,100.00,744,0,SURVIVES_BOTH_SCREENS
default/CalibrationPanel,??0CalibrationPanel@@QAA@XZ,object_memory,stable_divergent,divergent,100.00,100.00,328,0,SURVIVES_BOTH_SCREENS
default/Cam,?_outline_SetFrustum@@YAXPAVRndCam@@MMMM@Z,call_count,stable_divergent,divergent,0.00,1.67,84,0,SURVIVES_BOTH_SCREENS
default/CameraShot,??$?5VCamShotFrame@@@@YAAAVBinStream@@AAVBinStreamRev@@AAV?$ObjVector@VCamShotFrame@@@@@Z,call_count,stable_divergent,divergent,100.00,100.00,92,1,BYTE_IDENTICAL_ARTIFACT
default/CameraShot,??0CamShotCrowd@@QAA@PAVObject@Hmx@@@Z,call_count,stable_divergent,divergent,56.87,57.79,152,0,SURVIVES_BOTH_SCREENS
default/CameraShot,??0CamShotFrame@@QAA@PAVObject@Hmx@@@Z,call_count,stable_divergent,divergent,68.39,70.42,424,0,SURVIVES_BOTH_SCREENS
default/CameraShot,?EndAnim@CamShot@@UAAXXZ,error,stable_divergent,divergent,57.29,57.90,196,0,SURVIVES_BOTH_SCREENS
default/CameraShot,?StartAnim@CamShot@@UAAXXZ,error,input_sensitive,divergent,8.41,8.88,552,0,SURVIVES_BOTH_SCREENS
