cluster_id	unit	shared_type	rows	bytes	regclean_rows	bands	sym	billed	fuzzy	n_charged	nreg	src
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?OnSetFileMerger@BandCharacter@@QAA?AVDataNode@@PAVDataArray@@@Z	2156	99.193	8	1	src/system/bandobj/BandCharacter.cpp
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?Filter@BandCharacter@@UAA?AW4Action@MergeFilter@@PAVObject@Hmx@@0PAVObjectDir@@@Z	1220	71.544	151	61	src/system/bandobj/BandCharacter.cpp
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?OnInstallFilter@BandCharacter@@QAA?AVDataNode@@PAVDataArray@@@Z	904	85.102	103	76	src/system/bandobj/BandCharacter.cpp
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?PlayMainClip@BandCharacter@@QAAPAVCharClipDriver@@H_N@Z	896	47.183	179	47	src/system/bandobj/BandCharacter.cpp
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?OnPostMerge@BandCharacter@@QAA?AVDataNode@@PAVDataArray@@@Z	656	83.323	33	5	src/system/bandobj/BandCharacter.cpp
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?Compress@BandCharacter@@UAAXPAVRndTex@@_N@Z	144	16.639	35	7	src/system/bandobj/BandCharacter.cpp
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?PreLoad@BandCharacter@@UAAXAAVBinStream@@@Z	140	84.286	10	6	src/system/bandobj/BandCharacter.cpp
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?AddOverlays@BandCharacter@@UAAXAAVBandPatchMesh@@@Z	112	92.464	4	1	src/system/bandobj/BandCharacter.cpp
5	default/BandCharacter	BandCharacter	9	6268	1	16+,4-6,7-15	?ComputeScreenSize@BandCharacter@@UAAMPAVRndCam@@@Z	40	19.000	9	0	src/system/bandobj/BandCharacter.cpp
6	default/Mesh	RndMesh	5	6236	0	16+	?Load@RndMesh@@UAAXAAVBinStream@@@Z	3452	88.191	285	125	src/system/rndobj/Mesh.cpp
6	default/Mesh	RndMesh	5	6236	0	16+	?OnSync@RndMesh@@MAAXH@Z	1192	94.671	125	129	src/system/rndobj/Mesh.cpp
6	default/Mesh	RndMesh	5	6236	0	16+	?CollideShowing@RndMesh@@UAAPAVRndDrawable@@ABVSegment@@AAMAAVPlane@@@Z	696	91.052	62	33	src/system/rndobj/Mesh.cpp
6	default/Mesh	RndMesh	5	6236	0	16+	?SaveVertices@RndMesh@@UAAXAAVBinStream@@@Z	460	92.374	18	6	src/system/rndobj/Mesh.cpp
6	default/Mesh	RndMesh	5	6236	0	16+	?SkinVertex@RndMesh@@QAA?AVVector3@@ABVVert@1@PAV2@@Z	436	97.505	29	33	src/system/rndobj/Mesh.cpp
7	default/VocalTrackDir	VocalTrackDir	5	6196	0	16+	?PostLoad@VocalTrackDir@@UAAXAAVBinStream@@@Z	3656	96.397	55	10	src/system/bandobj/VocalTrackDir.cpp
7	default/VocalTrackDir	VocalTrackDir	5	6196	0	16+	?ApplyFontStyle@VocalTrackDir@@QAAXPAVObject@Hmx@@@Z	1164	6.725	371	108	src/system/bandobj/VocalTrackDir.cpp
7	default/VocalTrackDir	VocalTrackDir	5	6196	0	16+	?SetRange@VocalTrackDir@@QAAXMMH_N@Z	700	93.537	17	9	src/system/bandobj/VocalTrackDir.cpp
7	default/VocalTrackDir	VocalTrackDir	5	6196	0	16+	?SetConfiguration@VocalTrackDir@@QAAXPAVObject@Hmx@@W4HarmonyShowingState@1@@Z	528	82.402	29	2	src/system/bandobj/VocalTrackDir.cpp
7	default/VocalTrackDir	VocalTrackDir	5	6196	0	16+	?RecalculateLyricZ@VocalTrackDir@@QAAXPA_N0@Z	148	89.189	19	20	src/system/bandobj/VocalTrackDir.cpp
8	default/network/Plugins/Checksum/MD5/MD5		1	6068	0	16+	?transform@MD5@Quazal@@QAAXPBE@Z	6068	82.185	1409	2214	src/network/Plugins/Checksum/MD5/MD5.cpp
9	default/SHA1		1	5856	0	16+	?Transform@CSHA1@@AAAXPAIPBE@Z	5856	55.691	1511	1771	src/system/math/SHA1.cpp
10	default/system/obj/Dir	ObjectDir	3	5640	0	16+	?PreLoad@ObjectDir@@UAAXAAVBinStream@@@Z	3092	84.713	412	256	src/system/obj/Dir.cpp
10	default/system/obj/Dir	ObjectDir	3	5640	0	16+	?Save@ObjectDir@@UAAXAAVBinStream@@@Z	2108	90.748	168	138	src/system/obj/Dir.cpp
10	default/system/obj/Dir	ObjectDir	3	5640	0	16+	?Iterate@ObjectDir@@IAAXPAVDataArray@@_N@Z	440	60.491	91	41	src/system/obj/Dir.cpp
11	default/BandWardrobe	BandWardrobe	6	5464	0	16+,4-6,7-15	?SyncProperty@BandWardrobe@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	2416	99.743	12	8	src/system/bandobj/BandWardrobe.cpp
11	default/BandWardrobe	BandWardrobe	6	5464	0	16+,4-6,7-15	?OnEnterVignette@BandWardrobe@@QAA?AVDataNode@@PAVDataArray@@@Z	1692	89.012	140	84	src/system/bandobj/BandWardrobe.cpp
11	default/BandWardrobe	BandWardrobe	6	5464	0	16+,4-6,7-15	?FindBestScoringHint@BandWardrobe@@QAAHPAVSymbol@@PAVSlotInfo@1@AAH@Z	828	55.961	164	77	src/system/bandobj/BandWardrobe.cpp
11	default/BandWardrobe	BandWardrobe	6	5464	0	16+,4-6,7-15	?ValidGenreGender@BandWardrobe@@QAA_NPAVCamShot@@@Z	372	50.280	67	20	src/system/bandobj/BandWardrobe.cpp
11	default/BandWardrobe	BandWardrobe	6	5464	0	16+,4-6,7-15	?SyncVignetteInterest@BandWardrobe@@QAAXH@Z	80	93.500	5	6	src/system/bandobj/BandWardrobe.cpp
11	default/BandWardrobe	BandWardrobe	6	5464	0	16+,4-6,7-15	?SyncEnableBlinks@BandWardrobe@@QAAXH@Z	76	93.158	5	6	src/system/bandobj/BandWardrobe.cpp
12	default/FileMerger	CharIKHand	2	5244	0	16+	?IKElbow@CharIKHand@@IAAXPAVRndTransformable@@0@Z	2880	94.026	130	190	src/system/char/FileMerger.cpp
12	default/FileMerger	CharIKHand	2	5244	0	16+	?Poll@CharIKHand@@UAAXXZ	2364	98.261	40	49	src/system/char/FileMerger.cpp
13	default/CharacterCreatorPanel		1	5164	0	16+	?Handle@CharacterCreatorPanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	5164	98.244	224	206	src/band3/meta_band/CharacterCreatorPanel.cpp
14	default/CustomizePanel		1	5036	1	<=3	?Handle@CustomizePanel@@UAA?AVDataNode@@PAVDataArray@@_N@Z	5036	99.921	1	0	src/band3/meta_band/CustomizePanel.cpp
15	default/Part	RndParticleSys	2	4928	0	16+	?InitParticle@RndParticleSys@@IAAXMPAVRndParticle@@PBVTransform@@AAVPartOverride@@@Z	2492	57.958	529	368	src/system/rndobj/Part.cpp
15	default/Part	RndParticleSys	2	4928	0	16+	?Load@RndParticleSys@@UAAXAAVBinStream@@@Z	2436	95.585	93	52	src/system/rndobj/Part.cpp
16	default/json_tokener		1	4872	0	16+	json_tokener_parse_ex	4872	93.200	169	65	src/system/net/json-c/json_tokener.c
17	default/CharBones	CharBones	3	4820	0	16+	?ScaleAdd@CharBones@@QBAXAAV1@M@Z	1756	73.007	356	382	src/system/char/CharBones.cpp
17	default/CharBones	CharBones	3	4820	0	16+	?RotateTo@CharBones@@QBAXAAV1@M@Z	1644	73.861	350	499	src/system/char/CharBones.cpp
17	default/CharBones	CharBones	3	4820	0	16+	?RotateBy@CharBones@@QBAXAAV1@@Z	1420	86.065	253	413	src/system/char/CharBones.cpp
18	default/band3/meta_band/SaveLoadManager	SaveLoadManager	2	4228	1	16+,7-15	?SetState@SaveLoadManager@@IAAXW4State@1@@Z	4096	96.740	140	105	src/band3/meta_band/SaveLoadManager.cpp
