prize	tgt_size	funclet_bytes	funclets	fuzzy	mpn	tgt_frame	base_frame	delta	direction	verdict	hard	name	reg	imm	unit	symbol
388	388	0	0	91.412	91.722	0xb0	0xa0	16	RETAIL_BIGGER	NAME-BLOCKED	8	1	4	3	default/Object	?Property@Object@Hmx@@QBAPBVDataNode@@PAVDataArray@@_N@Z
388	388	0	0	79.773	82.969	0x150	0x160	-16	OURS_BIGGER	UNTRIAGED					default/HamIKEffector	?ApplyPosConstraints@HamIKEffector@@IAAMAAVVector3@@ABV2@PAV1@@Z
384	384	0	0	46.01	47.469	0xb0	0x120	-112	OURS_BIGGER	UNTRIAGED					default/UIScreen	?Enter@UIScreen@@UAAXPAV1@@Z
384	384	0	0	14.365	16.917	0xd0	0x90	64	RETAIL_BIGGER	UNTRIAGED					default/PreloadPanel	?Load@PreloadPanel@@UAAXXZ
384	384	0	0	68.927	69.865	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/TrackDir	?SetupKeyShifting@TrackDir@@QAAXPAVRndDir@@@Z
380	380	0	0	67.989	68.147	0xd0	0xc0	16	RETAIL_BIGGER	UNTRIAGED					default/GemTrackDir	?SetPitch@GemTrackDir@@QAAXM@Z
372	372	0	0	50.28	51.516	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/BandWardrobe	?ValidGenreGender@BandWardrobe@@QAA_NPAVCamShot@@@Z
360	360	0	0	92.967	93.911	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/TourDescPanel	?LoadIcons@TourDescPanel@@QAAXXZ
360	360	0	0	59.922	62.2	0xa0	0x90	16	RETAIL_BIGGER	UNTRIAGED					default/OutfitConfig	?PropSync@@YA_NAAVMeshAO@OutfitConfig@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
356	356	0	0	96.371	97.719	0xf0	0x100	-16	OURS_BIGGER	UNTRIAGED					default/LightPreset	??$PropSync@USpotlightEntry@LightPreset@@@@YA_NAAV?$ObjVector@USpotlightEntry@LightPreset@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
356	356	0	0	23.326	24.843	0xc0	0x80	64	RETAIL_BIGGER	UNTRIAGED					default/Overlay	?erase@?$list@VString@@V?$StlNodeAlloc@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@2@U32@0@Z
356	356	0	0	10.506	12.191	0x70	0xd0	-96	OURS_BIGGER	UNTRIAGED					default/Group	?Load@RndGroup@@UAAXAAVBinStream@@@Z
352	312	40	1	20.846	23.346	0xa0	0xc0	-32	OURS_BIGGER	UNTRIAGED					default/CharClipDriver	?ExecuteEvent@CharClipDriver@@IAAXVSymbol@@@Z
348	348	0	0	48.379	49.126	0x90	0xa0	-16	OURS_BIGGER	UNTRIAGED					default/CampaignSongInfoPanel	?Refresh@CampaignSongInfoPanel@@QAAXXZ
340	340	0	0	0	1.118	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/StringTable	??0GlitchFinder@@QAA@XZ
340	340	0	0	72.471	73.294	0xa0	0x90	16	RETAIL_BIGGER	UNTRIAGED					default/BandSongMetadata	?HasPart@BandSongMetadata@@QBA_NVSymbol@@@Z
332	332	0	0	53.301	55.771	0xb0	0x80	48	RETAIL_BIGGER	UNTRIAGED					default/BandDirector	?GetModeInst@BandDirector@@QAA?AVSymbol@@V2@@Z
328	328	0	0	77.805	79.024	0xe0	0x100	-32	OURS_BIGGER	UNTRIAGED					default/MeshAnim	?Load@RndMultiMesh@@UAAXAAVBinStream@@@Z
328	328	0	0	38.183	39.402	0xc0	0x80	64	RETAIL_BIGGER	UNTRIAGED					default/SpotlightDrawer	?DrawShadow@SpotlightDrawer@@MAAXXZ
328	328	0	0	6.89	8.902	0xa0	0x90	16	RETAIL_BIGGER	UNTRIAGED					default/Splash	??0Splash@@QAA@XZ
328	328	0	0	84.22	86.171	0xc0	0xb0	16	RETAIL_BIGGER	UNTRIAGED					default/MetaMusic	?_M_insert_overflow_aux@?$vector@VDataArrayPtr@@V?$StlNodeAlloc@VDataArrayPtr@@@stlpmtx_std@@@stlpmtx_std@@IAAXPAVDataArrayPtr@@ABV3@ABU__false_type@2@I_N@Z
324	324	0	0	19.136	19.815	0xc0	0x80	64	RETAIL_BIGGER	UNTRIAGED					default/SongLayout	??1?$vector@VSongPattern@@V?$StlNodeAlloc@VSongPattern@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ
324	284	40	1	81.254	81.606	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/CharBoneOffset	??0CharBoneOffset@@IAA@XZ
320	320	0	0	14.275	15.088	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/Mesh	??$__destroy_range@PAV?$vector@GV?$StlNodeAlloc@G@stlpmtx_std@@@stlpmtx_std@@V12@@stlpmtx_std@@YAXPAV?$vector@GV?$StlNodeAlloc@G@stlpmtx_std@@@0@00@Z
312	312	0	0	68.218	68.923	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/HDCache	?WriteDone@HDCache@@QAA_NXZ
300	300	0	0	14.84	15.907	0x70	0x90	-32	OURS_BIGGER	UNTRIAGED					default/OvershellSlot	?AttemptRemoveUser@OvershellSlot@@QAAXXZ
296	176	120	3	99.636	99.864	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/CharClip	?_M_insert_overflow_aux@?$vector@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@V?$StlNodeAlloc@V?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAV?$map@HMU?$less@H@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@$$CBHM@stlpmtx_std@@@2@@2@ABV32@ABU__true_type@2@I_N@Z
292	292	0	0	50.068	54.795	0xa0	0xe0	-64	OURS_BIGGER	UNTRIAGED					default/CharBonesMeshes	?ReallocateInternal@CharBonesMeshes@@MAAXXZ
292	292	0	0	92.767	93.041	0x1a0	0x1b0	-16	OURS_BIGGER	UNTRIAGED					default/Rnd_Xbox	?SetDefaultRenderStates@DxRnd@@QAAXXZ
288	288	0	0	3.875	6.028	0x130	0x80	176	RETAIL_BIGGER	UNTRIAGED					default/CharPollGroup	??0CharPollGroup@@IAA@XZ
284	244	40	1	61.787	63.344	0x90	0xb0	-32	OURS_BIGGER	UNTRIAGED					default/Spotlight	?Load@ColorPalette@@UAAXAAVBinStream@@@Z
284	284	0	0	94.197	96.31	0xc0	0xb0	16	RETAIL_BIGGER	UNTRIAGED					default/Bitmap	?NearestColor@RndBitmap@@ABAEEEEE@Z
284	284	0	0	0	3.169	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/Tour	??0Tour@@QAA@PAVDataArray@@ABVSongMgr@@AAVBandUserMgr@@_N@Z
280	280	0	0	81.471	85.257	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/keygen_xbox	?getMasher@KeyChain@@YAXPAE@Z
280	280	0	0	93.186	94.257	0x80	0x90	-16	OURS_BIGGER	UNTRIAGED					default/UIListWidget	?ScrollDirection@@YAHABVButtonDownMsg@@VSymbol@@_NH@Z
280	280	0	0	82.757	83.971	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/UILabel	??4?$vector@ULabelStyle@UILabel@@V?$StlNodeAlloc@ULabelStyle@UILabel@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z
280	280	0	0	51.3	52.443	0xa0	0xc0	-32	OURS_BIGGER	UNTRIAGED					default/ChecksumAlgorithm	?DeriveKey@ChecksumAlgorithm@Quazal@@QAA?AVKey@2@ABVBuffer@2@I@Z
268	268	0	0	0	2.164	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/PracticeSection	?SyncProperty@PracticeSection@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
268	268	0	0	91.91	93.104	0x80	0x90	-16	OURS_BIGGER	UNTRIAGED					default/Tex	?SetBitmap@RndTex@@QAAXABVRndBitmap@@PBD_NW4Type@1@@Z
264	264	0	0	20.621	23.045	0xa0	0x80	32	RETAIL_BIGGER	UNTRIAGED					default/TrackPanelDirBase	??4?$ObjPtrList@VRndTransformable@@VObjectDir@@@@QAAXABV0@@Z
264	264	0	0	33.939	35.076	0x80	0x11b0	-4400	OURS_BIGGER	UNTRIAGED					default/Debug	?Fail@Debug@@QAAXPBDPAX@Z
264	264	0	0	18.818	19.5	0x90	0x60	48	RETAIL_BIGGER	UNTRIAGED					default/MeshAnim	??6@YAAAVTextStream@@AAV0@PBVObject@Hmx@@@Z
260	260	0	0	74.062	74.985	0xb0	0xa0	16	RETAIL_BIGGER	UNTRIAGED					default/FFT	?CalculateSinCosTable@@YAHJPAM@Z
260	216	44	1	58.333	60.0	0x90	0xa0	-16	OURS_BIGGER	UNTRIAGED					default/Instance	?PostLoad@WorldInstance@@UAAXAAVBinStream@@@Z
256	256	0	0	18.766	19.547	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/Console	?insert@?$list@UBreakpoint@RndConsole@@V?$StlNodeAlloc@UBreakpoint@RndConsole@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UBreakpoint@RndConsole@@U?$_Nonconst_traits@UBreakpoint@RndConsole@@@stlpmtx_std@@@2@U32@ABUBreakpoint@RndConsole@@@Z
252	252	0	0	94.952	96.778	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/Mesh	?Add@PatchVerts@@QAAXHAAVVertVector@RndMesh@@AAVVector3@@@Z
248	248	0	0	0	3.71	0xa0	0xc0	-32	OURS_BIGGER	UNTRIAGED					default/Line	?SyncProperty@RndLine@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
244	244	0	0	43.0	44.23	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/LabelNumberTicker	?PreLoad@LabelNumberTicker@@UAAXAAVBinStream@@@Z
240	240	0	0	16.883	19.05	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/MeshAnim	?Load@RndMeshAnim@@UAAXAAVBinStream@@@Z
236	236	0	0	48.153	49.424	0x90	0x70	32	RETAIL_BIGGER	UNTRIAGED					default/BandSongMetadata	?Rank@BandSongMetadata@@QBAMVSymbol@@@Z
236	236	0	0	66.746	68.102	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/AppLabel	?SetFromSongSelectNode@AppLabel@@QAAXPBVNode@@@Z
236	236	0	0	21.949	23.729	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/SpeechMgr	??$__uninitialized_copy@PAUGrammar@SpeechMgr@@PAU12@@stlpmtx_std@@YAPAUGrammar@SpeechMgr@@PAU12@00ABU__false_type@0@@Z
232	232	0	0	29.586	31.483	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/SongStatusMgr	?LoadFixed@SongStatusMgr@@UAAXAAVFixedSizeSaveableStream@@H@Z
232	232	0	0	12.81	15.569	0xf0	0x80	112	RETAIL_BIGGER	UNTRIAGED					default/MatAnim	??4?$ObjPtrList@VObject@Hmx@@VObjectDir@@@@QAAXABV0@@Z
228	228	0	0	57.93	60.211	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/LightHue	?Load@WorldReflection@@UAAXAAVBinStream@@@Z
224	224	0	0	99.161	99.964	0xa0	0x90	16	RETAIL_BIGGER	UNTRIAGED					default/system/rndobj/Utl	?insert_unique@?$_Rb_tree@UEdge@RndAmbientOcclusion@@U?$less@UEdge@RndAmbientOcclusion@@@stlpmtx_std@@U12@U?$_Identity@UEdge@RndAmbientOcclusion@@@4@U?$_SetTraitsT@UEdge@RndAmbientOcclusion@@@priv@4@V?$StlNodeAlloc@UEdge@RndAmbientOcclusion@@@4@@stlpmtx_std@@QAA?AU?$pair@U?$_Rb_tree_iterator@UEdge@RndAmbientOcclusion@@U?$_SetTraitsT@UEdge@RndAmbientOcclusion@@@priv@stlpmtx_std@@@stlpmtx_std@@_N@2@ABUEdge@RndAmbientOcclusion@@@Z
224	224	0	0	24.964	26.75	0x90	0x70	32	RETAIL_BIGGER	UNTRIAGED					default/BandSongMgr	?RankTierToken@BandSongMgr@@QBA?AVSymbol@@H@Z
220	220	0	0	74.055	74.145	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/Sequence	?Load@Sequence@@UAAXAAVBinStream@@@Z
220	220	0	0	62.309	64.582	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/EnvAnim	?Load@RndEnvAnim@@UAAXAAVBinStream@@@Z
216	216	0	0	1.056	2.815	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/MusicLibrary	?RemoveLastSongFromSetlist@MusicLibrary@@QAAXXZ
212	212	0	0	56.434	56.811	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/Group	?Save@RndGroup@@UAAXAAVBinStream@@@Z
204	204	0	0	0	2.353	0x70	0x90	-32	OURS_BIGGER	UNTRIAGED					default/Anim	?Enter@RndDir@@UAAXXZ
204	204	0	0	91.49	92.078	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/MetaMusic	??$__introsort_loop@PAPAUObjEntry@@PAU1@HUObjSort@@@stlpmtx_std@@YAXPAPAUObjEntry@@00HUObjSort@@@Z
200	200	0	0	63.44	66.64	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/BandCamShot	?View@BandCamShot@@QAAXXZ
200	200	0	0	33.32	34.92	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/Shader	?CalcShaderOpts@RndShaderDrawRect@@MAA_KPAVNgMat@@W4ShaderType@@_N@Z
200	200	0	0	37.8	39.5	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/MidiInstrument	?Load@MidiInstrument@@UAAXAAVBinStream@@@Z
200	200	0	0	57.54	59.34	0x90	0xa0	-16	OURS_BIGGER	UNTRIAGED					default/VocalNoteList	?GenerateLegalFreestyleSections@VocalNoteList@@QBAXAAV?$vector@U?$pair@MM@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@MM@stlpmtx_std@@@2@@stlpmtx_std@@@Z
196	196	0	0	71.837	75.408	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/Character	?UnhookShadow@Character@@IAAXXZ
196	196	0	0	23.735	24.959	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/StandardStream	?SetJump@StandardStream@@UAAXMMPBD@Z
196	196	0	0	40.327	41.143	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/system/bandobj/DialogDisplay	?Poll@DialogDisplay@@UAAXXZ
192	192	0	0	54.75	56.0	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/CharBoneDir	?PostLoad@CharBoneDir@@UAAXAAVBinStream@@@Z
192	192	0	0	29.917	31.062	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/File	FileGetBase
192	192	0	0	67.667	68.292	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/PracticePanel	?Exit@PracticePanel@@UAAXXZ
188	188	0	0	89.596	92.255	0xa0	0x90	16	RETAIL_BIGGER	UNTRIAGED					default/EventTrigger	??4?$list@UProxyCall@EventTrigger@@V?$StlNodeAlloc@UProxyCall@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z
188	188	0	0	48.553	51.426	0x90	0xa0	-16	OURS_BIGGER	UNTRIAGED					default/MemMgr	?MemFree@@YAXPAX@Z
188	188	0	0	38.574	40.383	0x90	0x70	32	RETAIL_BIGGER	UNTRIAGED					default/AccomplishmentCategory	?Configure@AccomplishmentCategory@@QAAXPBVDataArray@@@Z
188	188	0	0	81.957	82.809	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/network/Platform/MemoryManager	?GetDefaultMemoryManager@MemoryManager@Quazal@@SAPAV12@XZ
184	184	0	0	0	1.63	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/Tex	?PlatformBppOrder@RndTex@@SAXPBDAAH1_N@Z
184	184	0	0	59.935	60.37	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/ScreenMask	?Load@RndScreenMask@@UAAXAAVBinStream@@@Z
180	180	0	0	60.4	61.289	0x880	0x890	-16	OURS_BIGGER	UNTRIAGED					default/MemHeap	?PrintAlloc@?A0xb5f23974@@YAXAAVTextStream@@PAHHHPBVAllocInfo@@@Z
180	180	0	0	56.378	57.711	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/InlineHelp	?Update@InlineHelp@@MAAXXZ
180	180	0	0	34.267	35.489	0xd0	0x80	80	RETAIL_BIGGER	UNTRIAGED					default/system/os/UsbMidiGuitar	??1Queue@@QAA@XZ
176	176	0	0	76.318	79.5	0x90	0xb0	-32	OURS_BIGGER	UNTRIAGED					default/EventTrigger	??4?$list@UPropTriggerDefn@FlowTrigger@@V?$StlNodeAlloc@UPropTriggerDefn@FlowTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z
176	176	0	0	99.818	99.932	0xc0	0xb0	16	RETAIL_BIGGER	UNTRIAGED					default/OriginalChoreoRemixer	?_M_insert_overflow_aux@?$vector@V?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@V?$StlNodeAlloc@V?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@stlpmtx_std@@@2@@stlpmtx_std@@IAAXPAV?$set@PBVMoveParent@@U?$less@PBVMoveParent@@@stlpmtx_std@@V?$StlNodeAlloc@PBVMoveParent@@@3@@2@ABV32@ABU__true_type@2@I_N@Z
176	176	0	0	98.886	99.909	0xa0	0xb0	-16	OURS_BIGGER	UNTRIAGED					default/StorePanel	?LoadArt@StorePanel@@UAAXPBDPAVUIPanel@@@Z
176	176	0	0	69.386	70.295	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/system/ui/UIProxy	?PostLoad@UIProxy@@UAAXAAVBinStream@@@Z
172	172	0	0	6.209	7.256	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/MusicLibrary	?ByteCode@RemoveLastSongFromSetlistMsg@@UBAEXZ
172	172	0	0	58.605	61.163	0x90	0xa0	-16	OURS_BIGGER	UNTRIAGED					default/ArkFile	??0ArkFile@@QAA@PBDH@Z
172	172	0	0	31.442	33.186	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/DuplicatedObject	?GetInstanceFromVector@InstanceTable@Quazal@@QAAIII@Z
172	172	0	0	62.674	65.93	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/Tour	?CombinePartSymbols@Tour@@QAA?AVSymbol@@V2@0@Z
172	172	0	0	7.512	9.023	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/NetGameMsgs	?Dispatch@RestartGameMsg@@UAAXXZ
168	168	0	0	53.571	56.548	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/ClipDistMap	??$__partial_sort@PAUNode@ClipDistMap@@U12@UDistMapNodeSort@@@stlpmtx_std@@YAXPAUNode@ClipDistMap@@000UDistMapNodeSort@@@Z
164	164	0	0	57.683	61.341	0x80	0x90	-16	OURS_BIGGER	UNTRIAGED					default/Object	?SetProperty@Object@Hmx@@QAAXPAVDataArray@@ABVDataNode@@@Z
164	164	0	0	34.756	36.463	0xa0	0x80	32	RETAIL_BIGGER	UNTRIAGED					default/CharLipSync	??$__uninitialized_copy@PAVString@@PAV1@@stlpmtx_std@@YAPAVString@@PAV1@00ABU__false_type@0@@Z
160	160	0	0	47.3	48.425	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/CharClipSet	?SetBpm@CharClipSet@@UAAXH@Z
160	160	0	0	0	3.0	0x70	0xb0	-64	OURS_BIGGER	UNTRIAGED					default/PracticeSection	?Load@PracticeSection@@UAAXAAVBinStream@@@Z
152	152	0	0	56.868	57.789	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/CameraShot	??0CamShotCrowd@@QAA@PAVObject@Hmx@@@Z
152	152	0	0	26.105	28.079	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/SpotlightDrawer	?Load@SpotlightDrawer@@UAAXAAVBinStream@@@Z
152	152	0	0	30.605	31.526	0xd0	0xf0	-32	OURS_BIGGER	UNTRIAGED					default/UIListMesh	?Draw@UIListMesh@@UAAXABUUIListWidgetDrawState@@ABVUIListState@@ABVTransform@@W4State@UIComponent@@PAVBox@@W4DrawCommand@@@Z
152	152	0	0	65.211	65.605	0x60	0x70	-16	OURS_BIGGER	UNTRIAGED					default/GemTrackDir	?SetPlayerLocal@GemTrackDir@@UAAXM@Z
152	152	0	0	20.763	21.947	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/NextSongPanel	?Exiting@NextSongPanel@@UBA_NXZ
152	152	0	0	66.079	67.789	0x90	0x190	-256	OURS_BIGGER	UNTRIAGED					default/BandSongMgr	?AddSongData@BandSongMgr@@UAAXPAVDataArray@@PAVDataLoader@@W4ContentLocT@@@Z
148	148	0	0	43.432	45.189	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/PatchDir	?DrawShowing@PatchDir@@UAAXXZ
148	148	0	0	17.189	19.757	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/CharBoneDir	?PreLoad@CharBoneDir@@UAAXAAVBinStream@@@Z
148	148	0	0	0	3.514	0x70	0xc0	-80	OURS_BIGGER	UNTRIAGED					default/Anim	?SyncProperty@RndSpline@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
148	148	0	0	17.189	19.757	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/UISlider	?PreLoad@PanelDir@@UAAXAAVBinStream@@@Z
144	144	0	0	60.361	61.472	0x70	0x180	-272	OURS_BIGGER	UNTRIAGED					default/File_Win	?FileQualifiedFilename@@YAXPADHPBD@Z
144	144	0	0	0	1.528	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/system/bandobj/BandTrack	?SpotlightPhraseSuccess@BandTrack@@UAAXXZ
140	140	0	0	17.029	19.6	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/LabelShrinkWrapper	?PreLoad@LabelShrinkWrapper@@UAAXAAVBinStream@@@Z
140	140	0	0	32.914	34.771	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/UITransitionHandler	??$?5VTexPtr@RndMatAnim@@@@YAAAVBinStreamRev@@AAV0@AAV?$Key@VTexPtr@RndMatAnim@@@@@Z
140	140	0	0	76.029	76.457	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/band3/game/Game	??0GemTrainerLoopPanel@@QAA@XZ
136	136	0	0	28.588	29.765	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/BandList	?PreLoad@BandList@@UAAXAAVBinStream@@@Z
136	136	0	0	0	2.794	0x70	0x90	-32	OURS_BIGGER	UNTRIAGED					default/PracticeSection	?Copy@PracticeSection@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z
136	136	0	0	46.206	46.794	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/GranularSynth	??1?$vector@VString@@V?$StlNodeAlloc@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ
136	136	0	0	2.912	4.529	0x80	0x60	32	RETAIL_BIGGER	UNTRIAGED					default/ColorPalette	?push_back@?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAAXABVColor@Hmx@@@Z
136	136	0	0	10.118	12.765	0x60	0x90	-48	OURS_BIGGER	UNTRIAGED					default/VocalPlayer	?SongSectionOnly@VocalPlayer@@QBA_NAAM0@Z
136	136	0	0	27.882	29.647	0x70	0x80	-16	OURS_BIGGER	UNTRIAGED					default/ProfileMgr	?FakeProfileFill@ProfileMgr@@QAAXXZ
132	132	0	0	47.515	48.424	0x80	0x60	32	RETAIL_BIGGER	UNTRIAGED					default/Group	?ListDrawChildren@RndGroup@@UAAXAAV?$list@PAVRndDrawable@@V?$StlNodeAlloc@PAVRndDrawable@@@stlpmtx_std@@@stlpmtx_std@@@Z
128	128	0	0	24.688	26.719	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/Debug	?DevHostname@@YAPBDVSymbol@@@Z
128	128	0	0	53.812	56.156	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/system/synth_xbox/Synth	?push_back@?$vector@UXAUDIO2_SEND_DESCRIPTOR@@V?$StlNodeAlloc@UXAUDIO2_SEND_DESCRIPTOR@@@stlpmtx_std@@@stlpmtx_std@@QAAXABUXAUDIO2_SEND_DESCRIPTOR@@@Z
128	128	0	0	41.969	44.938	0x80	0xd0	-80	OURS_BIGGER	UNTRIAGED					default/DirLoader	?HandleType@Object@Hmx@@QAA?AVDataNode@@PAVDataArray@@@Z
128	128	0	0	47.094	47.875	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/AccomplishmentPanel	?GetAccomplishmentName@AccomplishmentPanel@@QAA?AVSymbol@@XZ
128	128	0	0	84.156	84.312	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/UIEventMgr	?CurrentTransitionEvent@UIEventMgr@@QBA?AVSymbol@@XZ
128	128	0	0	26.0	28.5	0x70	0xa0	-48	OURS_BIGGER	UNTRIAGED					default/system/hamobj/MiniLeaderboardDisplay	?PreLoad@MiniLeaderboardDisplay@@UAAXAAVBinStream@@@Z
124	124	0	0	0	1.29	0x80	0x70	16	RETAIL_BIGGER	UNTRIAGED					default/DepthBuffer3D	?DoPost@NgPostProc@@UAAXXZ
124	124	0	0	86.226	89.613	0x80	0x60	32	RETAIL_BIGGER	UNTRIAGED					default/system/rndobj/Utl	??$_M_find@UEdge@RndAmbientOcclusion@@@?$_Rb_tree@UEdge@RndAmbientOcclusion@@U?$less@UEdge@RndAmbientOcclusion@@@stlpmtx_std@@U12@U?$_Identity@UEdge@RndAmbientOcclusion@@@4@U?$_SetTraitsT@UEdge@RndAmbientOcclusion@@@priv@4@V?$StlNodeAlloc@UEdge@RndAmbientOcclusion@@@4@@stlpmtx_std@@ABAPAU_Rb_tree_node_base@1@ABUEdge@RndAmbientOcclusion@@@Z
124	124	0	0	61.258	64.806	0x90	0x80	16	RETAIL_BIGGER	UNTRIAGED					default/HamCamTransform	??6@YAAAVBinStream@@AAV0@ABUDynamicPropertyEntry@Flow@@@Z
124	124	0	0	0	2.097	0x80	0xb0	-48	OURS_BIGGER	UNTRIAGED					default/Anim	?CollidePlane@RndDir@@UAAHABVPlane@@@Z
124	124	0	0	0	2.097	0x70	0x90	-32	OURS_BIGGER	UNTRIAGED					default/PracticeSection	?Save@PracticeSection@@UAAXAAVBinStream@@@Z
124	124	0	0	35.258	37.194	0xa0	0x70	48	RETAIL_BIGGER	UNTRIAGED					default/HAQManager	?PrintComponentInfo@HAQManager@@AAAXPAVUIComponent@@@Z
124	124	0	0	19.065	21.161	0x80	0xa0	-32	OURS_BIGGER	UNTRIAGED					default/Group	?CollidePlane@RndGroup@@UAAHABVPlane@@@Z
120	120	0	0	65.867	66.533	0x70	0x60	16	RETAIL_BIGGER	UNTRIAGED					default/VocalTrack	?OnPhraseComplete@VocalTrack@@QAAXMMH@Z
