size	class	tier	unit	symbol	fuzzy	fold_test	mapname	target_name	our_name
428	A_FOLD_CONSISTENT	engine	default/UI	?InitResources@UIManager@@QAAXVSymbol@@@Z	99.9533	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class UIResource *, struct stlpmtx_std::_Nonconst_traits<class UIResource *>> __cdecl stlpmtx_std::list<class UIResource *, class stlpmtx_std::StlNodeAlloc<class UIResource *>>::insert(struct stlpmtx_std::_List_iterator<class UIResource *, struct stlpmtx_std::_Nonconst_traits<class UIResource *>>, class UIResource *const &)
424	BC_DIFFERENT_UNRESOLVED	engine	default/FileMerger	?_M_fill_insert_aux@?$vector@UIKTarget@CharIKHand@@V?$StlNodeAlloc@UIKTarget@CharIKHand@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAUIKTarget@CharIKHand@@IABU34@ABU__false_type@2@@Z	99.9057	DIFFERENT	REFUTED	class DataEvent * __cdecl stlpmtx_std::__uninitialized_copy<class DataEvent const *, class DataEvent *>(class DataEvent const *, class DataEvent const *, class DataEvent *, struct stlpmtx_std::__false_type const &)	struct CharIKHand::IKTarget * __cdecl stlpmtx_std::__uninitialized_copy<struct CharIKHand::IKTarget *, struct CharIKHand::IKTarget *>(struct CharIKHand::IKTarget *, struct CharIKHand::IKTarget *, struct CharIKHand::IKTarget *, struct stlpmtx_std::__false_type const &)
420	BC_DIFFERENT_UNRESOLVED	engine	default/system/synth/SynthSample	?_M_fill_insert_aux@?$vector@VSampleMarker@@V?$StlNodeAlloc@VSampleMarker@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVSampleMarker@@IABV3@ABU__false_type@2@@Z	99.9524	DIFFERENT	REFUTED	struct SkeletonClip::MoveRating * __cdecl stlpmtx_std::__uninitialized_fill_n<struct SkeletonClip::MoveRating *, unsigned int, struct SkeletonClip::MoveRating>(struct SkeletonClip::MoveRating *, unsigned int, struct SkeletonClip::MoveRating const &, struct stlpmtx_std::__false_type const &)	class SampleMarker * __cdecl stlpmtx_std::__uninitialized_fill_n<class SampleMarker *, unsigned int, class SampleMarker>(class SampleMarker *, unsigned int, class SampleMarker const &, struct stlpmtx_std::__false_type const &)
420	A_FOLD_CONSISTENT	engine	default/Crowd	?Save@WorldCrowd@@UAAXAAVBinStream@@@Z	99.9524	SAME	CORROBORATED	public: struct stlpmtx_std::_List_iterator<struct RndMultiMesh::Instance, struct stlpmtx_std::_Nonconst_traits<struct RndMultiMesh::Instance>> __cdecl stlpmtx_std::list<struct RndMultiMesh::Instance, class stlpmtx_std::StlNodeAlloc<struct RndMultiMesh::Instance>>::insert(struct stlpmtx_std::_List_iterator<struct RndMultiMesh::Instance, struct stlpmtx_std::_Nonconst_traits<struct RndMultiMesh::Instance>>, struct RndMultiMesh::Instance const &)	public: struct stlpmtx_std::_List_iterator<class Transform, struct stlpmtx_std::_Nonconst_traits<class Transform>> __cdecl stlpmtx_std::list<class Transform, class stlpmtx_std::StlNodeAlloc<class Transform>>::insert(struct stlpmtx_std::_List_iterator<class Transform, struct stlpmtx_std::_Nonconst_traits<class Transform>>, class Transform const &)
416	A_FOLD_CONSISTENT	engine	default/DirLoader	?MakeFileList@@YA?AVDataNode@@PBD_NP6A_NPAD@Z@Z	99.9519	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class Symbol, struct stlpmtx_std::_Nonconst_traits<class Symbol>> __cdecl stlpmtx_std::list<class Symbol, class stlpmtx_std::StlNodeAlloc<class Symbol>>::insert(struct stlpmtx_std::_List_iterator<class Symbol, struct stlpmtx_std::_Nonconst_traits<class Symbol>>, class Symbol const &)
416	BC_DIFFERENT_UNRESOLVED	engine	default/MatAnim	?_M_fill_insert_aux@?$vector@V?$Key@VTexPtr@RndMatAnim@@@@V?$StlNodeAlloc@V?$Key@VTexPtr@RndMatAnim@@@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$Key@VTexPtr@RndMatAnim@@@@IABV3@ABU__false_type@2@@Z	99.9519	DIFFERENT	REFUTED	struct DistEntry * __cdecl stlpmtx_std::__uninitialized_fill_n<struct DistEntry *, unsigned int, struct DistEntry>(struct DistEntry *, unsigned int, struct DistEntry const &, struct stlpmtx_std::__false_type const &)	class Key<class RndMatAnim::TexPtr> * __cdecl stlpmtx_std::__uninitialized_fill_n<class Key<class RndMatAnim::TexPtr> *, unsigned int, class Key<class RndMatAnim::TexPtr>>(class Key<class RndMatAnim::TexPtr> *, unsigned int, class Key<class RndMatAnim::TexPtr> const &, struct stlpmtx_std::__false_type const &)
408	A_FOLD_CONSISTENT	engine	default/system/obj/Utl	?WalkProps@@YAXPAVDataArray@@AAV?$list@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@PAV23@@Z	99.9510	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class Symbol, struct stlpmtx_std::_Nonconst_traits<class Symbol>> __cdecl stlpmtx_std::list<class Symbol, class stlpmtx_std::StlNodeAlloc<class Symbol>>::insert(struct stlpmtx_std::_List_iterator<class Symbol, struct stlpmtx_std::_Nonconst_traits<class Symbol>>, class Symbol const &)
408	A_FOLD_CONSISTENT	engine	default/CharIKHead	?PollDeps@CharIKHead@@UAAXAAV?$list@PAVObject@Hmx@@V?$StlNodeAlloc@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@0@Z	99.7549	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class Hmx::Object *, struct stlpmtx_std::_Nonconst_traits<class Hmx::Object *>> __cdecl stlpmtx_std::list<class Hmx::Object *, class stlpmtx_std::StlNodeAlloc<class Hmx::Object *>>::insert(struct stlpmtx_std::_List_iterator<class Hmx::Object *, struct stlpmtx_std::_Nonconst_traits<class Hmx::Object *>>, class Hmx::Object *const &)
404	A_FOLD_CONSISTENT	game	default/BandMachineMgr	??0BandMachineMgr@@QAA@PAVSessionMgr@@PAVBandUserMgr@@@Z	99.9505	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class RemoteBandMachine *, class stlpmtx_std::StlNodeAlloc<class RemoteBandMachine *>>::push_back(class RemoteBandMachine *const &)
404	A_FOLD_CONSISTENT	game	default/band3/meta_band/InterstitialMgr	?GetInterstitialsFromScreen@InterstitialMgr@@QAAXPAVUIScreen@@AAV?$vector@PAVUIPanel@@V?$StlNodeAlloc@PAVUIPanel@@@stlpmtx_std@@@stlpmtx_std@@@Z	99.9505	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class UIPanel *, class stlpmtx_std::StlNodeAlloc<class UIPanel *>>::push_back(class UIPanel *const &)
404	BC_DIFFERENT_UNRESOLVED	engine	default/PropSync	?_M_fill_insert_aux@?$vector@VFilePath@@V?$StlNodeAlloc@VFilePath@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVFilePath@@IABV3@ABU__false_type@2@@Z	99.9505	DIFFERENT	REFUTED	struct SpeechMgr::Grammar * __cdecl stlpmtx_std::__uninitialized_fill_n<struct SpeechMgr::Grammar *, unsigned int, struct SpeechMgr::Grammar>(struct SpeechMgr::Grammar *, unsigned int, struct SpeechMgr::Grammar const &, struct stlpmtx_std::__false_type const &)	class FilePath * __cdecl stlpmtx_std::__uninitialized_fill_n<class FilePath *, unsigned int, class FilePath>(class FilePath *, unsigned int, class FilePath const &, struct stlpmtx_std::__false_type const &)
400	A_FOLD_CONSISTENT	engine	default/Waypoint	??0Waypoint@@IAA@XZ	99.9500	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class Waypoint *, struct stlpmtx_std::_Nonconst_traits<class Waypoint *>> __cdecl stlpmtx_std::list<class Waypoint *, class stlpmtx_std::StlNodeAlloc<class Waypoint *>>::insert(struct stlpmtx_std::_List_iterator<class Waypoint *, struct stlpmtx_std::_Nonconst_traits<class Waypoint *>>, class Waypoint *const &)
396	A_FOLD_CONSISTENT	engine	default/AmbientOcclusion	??$GatherObjectsFromGroup@VRndMesh@@@@YAIPAVRndGroup@@AAV?$vector@PAVRndMesh@@V?$StlNodeAlloc@PAVRndMesh@@@stlpmtx_std@@@stlpmtx_std@@@Z	99.7980	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class RndMesh *, class stlpmtx_std::StlNodeAlloc<class RndMesh *>>::push_back(class RndMesh *const &)
396	A_FOLD_CONSISTENT	engine	default/Part	??1RndParticleSys@@UAA@XZ	99.9495	SAME	REFUTED	public: virtual __cdecl ObjRefConcrete<class CharLookAt, class ObjectDir>::~ObjRefConcrete<class CharLookAt, class ObjectDir>(void)	public: virtual __cdecl ObjRefConcrete<class RndMesh, class ObjectDir>::~ObjRefConcrete<class RndMesh, class ObjectDir>(void)
396	BC_DIFFERENT_UNRESOLVED	game	default/band3/meta_band/LessonMgr	?GetDifficulty@Lesson@@QBA?AW4Difficulty@@XZ	99.9495	DIFFERENT	REFUTED	public: __cdecl stlpmtx_std::vector<struct ObjPtrVec<class Hmx::Object, class ObjectDir>::Node, class stlpmtx_std::StlNodeAlloc<struct ObjPtrVec<class Hmx::Object, class ObjectDir>::Node>>::~vector<struct ObjPtrVec<class Hmx::Object, class ObjectDir>::Node, class stlpmtx_std::StlNodeAlloc<struct ObjPtrVec<class Hmx::Object, class ObjectDir>::Node>>(void)	public: __cdecl stlpmtx_std::vector<class String, class stlpmtx_std::StlNodeAlloc<class String>>::~vector<class String, class stlpmtx_std::StlNodeAlloc<class String>>(void)
396	BC_DIFFERENT_UNRESOLVED	engine	default/Set	?SetTypeDef@RndSet@@UAAXPAVDataArray@@@Z	99.9495	DIFFERENT	REFUTED	public: void __cdecl stlpmtx_std::vector<class SpotlightDrawer::SpotlightEntry, class stlpmtx_std::StlNodeAlloc<class SpotlightDrawer::SpotlightEntry>>::resize(unsigned int, class SpotlightDrawer::SpotlightEntry const &)	public: void __cdecl stlpmtx_std::vector<class Symbol, class stlpmtx_std::StlNodeAlloc<class Symbol>>::resize(unsigned int, class Symbol const &)
396	BC_DIFFERENT_UNRESOLVED	engine	default/PropSync	??$PropSync@UMatOverride@WorldDir@@@@YA_NAAV?$ObjList@UMatOverride@WorldDir@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	99.9495	DIFFERENT	REFUTED	public: struct stlpmtx_std::_List_iterator<struct BandCamShot::Target, struct stlpmtx_std::_Nonconst_traits<struct BandCamShot::Target>> __cdecl stlpmtx_std::list<struct BandCamShot::Target, class stlpmtx_std::StlNodeAlloc<struct BandCamShot::Target>>::insert(struct stlpmtx_std::_List_iterator<struct BandCamShot::Target, struct stlpmtx_std::_Nonconst_traits<struct BandCamShot::Target>>, struct BandCamShot::Target const &)	public: struct stlpmtx_std::_List_iterator<struct WorldDir::MatOverride, struct stlpmtx_std::_Nonconst_traits<struct WorldDir::MatOverride>> __cdecl stlpmtx_std::list<struct WorldDir::MatOverride, class stlpmtx_std::StlNodeAlloc<struct WorldDir::MatOverride>>::insert(struct stlpmtx_std::_List_iterator<struct WorldDir::MatOverride, struct stlpmtx_std::_Nonconst_traits<struct WorldDir::MatOverride>>, struct WorldDir::MatOverride const &)
396	BC_DIFFERENT_UNRESOLVED	engine	default/EventTrigger	??$PropSync@UAnim@EventTrigger@@@@YA_NAAV?$ObjList@UAnim@EventTrigger@@@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	99.9495	DIFFERENT	REFUTED	public: struct stlpmtx_std::_List_iterator<struct FlowTrigger::PropTriggerDefn, struct stlpmtx_std::_Nonconst_traits<struct FlowTrigger::PropTriggerDefn>> __cdecl stlpmtx_std::list<struct FlowTrigger::PropTriggerDefn, class stlpmtx_std::StlNodeAlloc<struct FlowTrigger::PropTriggerDefn>>::insert(struct stlpmtx_std::_List_iterator<struct FlowTrigger::PropTriggerDefn, struct stlpmtx_std::_Nonconst_traits<struct FlowTrigger::PropTriggerDefn>>, struct FlowTrigger::PropTriggerDefn const &)	public: struct stlpmtx_std::_List_iterator<struct EventTrigger::Anim, struct stlpmtx_std::_Nonconst_traits<struct EventTrigger::Anim>> __cdecl stlpmtx_std::list<struct EventTrigger::Anim, class stlpmtx_std::StlNodeAlloc<struct EventTrigger::Anim>>::insert(struct stlpmtx_std::_List_iterator<struct EventTrigger::Anim, struct stlpmtx_std::_Nonconst_traits<struct EventTrigger::Anim>>, struct EventTrigger::Anim const &)
396	A_FOLD_CONSISTENT	engine	default/MidiParser	??0MidiParser@@QAA@XZ	99.9495	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class MidiParser *, struct stlpmtx_std::_Nonconst_traits<class MidiParser *>> __cdecl stlpmtx_std::list<class MidiParser *, class stlpmtx_std::StlNodeAlloc<class MidiParser *>>::insert(struct stlpmtx_std::_List_iterator<class MidiParser *, struct stlpmtx_std::_Nonconst_traits<class MidiParser *>>, class MidiParser *const &)
392	UNDECIDABLE	engine	default/InlineHelp	?_M_fill_insert_aux@?$vector@UActionElement@InlineHelp@@V?$StlNodeAlloc@UActionElement@InlineHelp@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAUActionElement@InlineHelp@@IABU34@ABU__false_type@2@@Z	99.8980	UNKNOWN	REFUTED	struct InlineHelp::ActionElement * __cdecl stlpmtx_std::__uninitialized_copy<struct InlineHelp::ActionElement const *, struct InlineHelp::ActionElement *>(struct InlineHelp::ActionElement const *, struct InlineHelp::ActionElement const *, struct InlineHelp::ActionElement *, struct stlpmtx_std::__false_type const &)	struct InlineHelp::ActionElement * __cdecl stlpmtx_std::__uninitialized_copy<struct InlineHelp::ActionElement *, struct InlineHelp::ActionElement *>(struct InlineHelp::ActionElement *, struct InlineHelp::ActionElement *, struct InlineHelp::ActionElement *, struct stlpmtx_std::__false_type const &)
392	BC_DIFFERENT_UNRESOLVED	engine	default/PatchDir	?_M_fill_insert_aux@?$vector@VPatchLayer@@V?$StlNodeAlloc@VPatchLayer@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVPatchLayer@@IABV3@ABU__false_type@2@@Z	99.9490	DIFFERENT	REFUTED	class Key<class stlpmtx_std::vector<class Vector3, class stlpmtx_std::StlNodeAlloc<class Vector3>>> * __cdecl stlpmtx_std::__uninitialized_fill_n<class Key<class stlpmtx_std::vector<class Vector3, class stlpmtx_std::StlNodeAlloc<class Vector3>>> *, unsigned int, class Key<class stlpmtx_std::vector<class Vector3, class stlpmtx_std::StlNodeAlloc<class Vector3>>>>(class Key<class stlpmtx_std::vector<class Vector3, class stlpmtx_std::StlNodeAlloc<class Vector3>>> *, unsigned int, class Key<class stlpmtx_std::vector<class Vector3, class stlpmtx_std::StlNodeAlloc<class Vector3>>> const &, struct stlpmtx_std::__false_type const &)	class PatchLayer * __cdecl stlpmtx_std::__uninitialized_fill_n<class PatchLayer *, unsigned int, class PatchLayer>(class PatchLayer *, unsigned int, class PatchLayer const &, struct stlpmtx_std::__false_type const &)
392	A_FOLD_CONSISTENT	engine	default/StreakMeter	?_M_fill_insert_aux@?$vector@V?$ObjPtr@VRndPropAnim@@@@V?$StlNodeAlloc@V?$ObjPtr@VRndPropAnim@@@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$ObjPtr@VRndPropAnim@@@@IABV3@ABU__false_type@2@@Z	99.9490	SAME	REFUTED	public: virtual __cdecl ObjRefConcrete<class FlowLabel, class ObjectDir>::~ObjRefConcrete<class FlowLabel, class ObjectDir>(void)	public: virtual __cdecl ObjRefConcrete<class RndPropAnim, class ObjectDir>::~ObjRefConcrete<class RndPropAnim, class ObjectDir>(void)
392	UNDECIDABLE	engine	default/HamCamTransform	?_M_fill_insert_aux@?$vector@UEyeDesc@CharEyes@@V?$StlNodeAlloc@UEyeDesc@CharEyes@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAUEyeDesc@CharEyes@@IABU34@ABU__false_type@2@@Z	99.8980	UNKNOWN	REFUTED	struct CharEyes::EyeDesc * __cdecl stlpmtx_std::__uninitialized_copy<struct CharEyes::EyeDesc const *, struct CharEyes::EyeDesc *>(struct CharEyes::EyeDesc const *, struct CharEyes::EyeDesc const *, struct CharEyes::EyeDesc *, struct stlpmtx_std::__false_type const &)	struct CharEyes::EyeDesc * __cdecl stlpmtx_std::__uninitialized_copy<struct CharEyes::EyeDesc *, struct CharEyes::EyeDesc *>(struct CharEyes::EyeDesc *, struct CharEyes::EyeDesc *, struct CharEyes::EyeDesc *, struct stlpmtx_std::__false_type const &)
392	UNDECIDABLE	engine	default/CharHair	?_M_fill_insert_aux@?$vector@VStrand@CharHair@@V?$StlNodeAlloc@VStrand@CharHair@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVStrand@CharHair@@IABV34@ABU__false_type@2@@Z	99.8980	UNKNOWN	REFUTED	class CharHair::Strand * __cdecl stlpmtx_std::__uninitialized_copy<class CharHair::Strand const *, class CharHair::Strand *>(class CharHair::Strand const *, class CharHair::Strand const *, class CharHair::Strand *, struct stlpmtx_std::__false_type const &)	class CharHair::Strand * __cdecl stlpmtx_std::__uninitialized_copy<class CharHair::Strand *, class CharHair::Strand *>(class CharHair::Strand *, class CharHair::Strand *, class CharHair::Strand *, struct stlpmtx_std::__false_type const &)
392	UNDECIDABLE	engine	default/Sfx	?_M_fill_insert_aux@?$vector@VMoggClipMap@@V?$StlNodeAlloc@VMoggClipMap@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVMoggClipMap@@IABV3@ABU__false_type@2@@Z	99.8980	UNKNOWN	REFUTED	class MoggClipMap * __cdecl stlpmtx_std::__uninitialized_copy<class MoggClipMap const *, class MoggClipMap *>(class MoggClipMap const *, class MoggClipMap const *, class MoggClipMap *, struct stlpmtx_std::__false_type const &)	class MoggClipMap * __cdecl stlpmtx_std::__uninitialized_copy<class MoggClipMap *, class MoggClipMap *>(class MoggClipMap *, class MoggClipMap *, class MoggClipMap *, struct stlpmtx_std::__false_type const &)
392	UNDECIDABLE	engine	default/CharMeshHide	?_M_fill_insert_aux@?$vector@VHide@CharMeshHide@@V?$StlNodeAlloc@VHide@CharMeshHide@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVHide@CharMeshHide@@IABV34@ABU__false_type@2@@Z	99.8980	UNKNOWN	REFUTED	class CharMeshHide::Hide * __cdecl stlpmtx_std::__uninitialized_copy<class CharMeshHide::Hide const *, class CharMeshHide::Hide *>(class CharMeshHide::Hide const *, class CharMeshHide::Hide const *, class CharMeshHide::Hide *, struct stlpmtx_std::__false_type const &)	class CharMeshHide::Hide * __cdecl stlpmtx_std::__uninitialized_copy<class CharMeshHide::Hide *, class CharMeshHide::Hide *>(class CharMeshHide::Hide *, class CharMeshHide::Hide *, class CharMeshHide::Hide *, struct stlpmtx_std::__false_type const &)
392	BC_DIFFERENT_UNRESOLVED	engine	default/CameraShot	?_M_fill_insert_aux@?$vector@VCamShotFrame@@V?$StlNodeAlloc@VCamShotFrame@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVCamShotFrame@@IABV3@ABU__false_type@2@@Z	99.9490	DIFFERENT	REFUTED	struct Flow::DynamicPropertyEntry * __cdecl stlpmtx_std::__uninitialized_fill_n<struct Flow::DynamicPropertyEntry *, unsigned int, struct Flow::DynamicPropertyEntry>(struct Flow::DynamicPropertyEntry *, unsigned int, struct Flow::DynamicPropertyEntry const &, struct stlpmtx_std::__false_type const &)	class CamShotFrame * __cdecl stlpmtx_std::__uninitialized_fill_n<class CamShotFrame *, unsigned int, class CamShotFrame>(class CamShotFrame *, unsigned int, class CamShotFrame const &, struct stlpmtx_std::__false_type const &)
392	UNDECIDABLE	engine	default/Sequence	?_M_fill_insert_aux@?$vector@V?$ObjPtr@VSeqInst@@@@V?$StlNodeAlloc@V?$ObjPtr@VSeqInst@@@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$ObjPtr@VSeqInst@@@@IABV3@ABU__false_type@2@@Z	99.8980	UNKNOWN	NOT_INSTANTIATED	struct `anonymous namespace'::Unlockable * __cdecl stlpmtx_std::__uninitialized_copy<struct `anonymous namespace'::Unlockable *, struct 0xf8e4b4b5::Unlockable *>(struct 0xf8e4b4b5::Unlockable *, struct 0xf8e4b4b5::Unlockable *, struct 0xf8e4b4b5::Unlockable *, struct stlpmtx_std::__false_type const &)	class ObjPtr<class SeqInst> * __cdecl stlpmtx_std::__uninitialized_copy<class ObjPtr<class SeqInst> *, class ObjPtr<class SeqInst> *>(class ObjPtr<class SeqInst> *, class ObjPtr<class SeqInst> *, class ObjPtr<class SeqInst> *, struct stlpmtx_std::__false_type const &)
392	A_FOLD_CONSISTENT	engine	default/Sequence	?_M_fill_insert_aux@?$vector@V?$ObjPtr@VSequence@@@@V?$StlNodeAlloc@V?$ObjPtr@VSequence@@@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAV?$ObjPtr@VSequence@@@@IABV3@ABU__false_type@2@@Z	99.9490	SAME	REFUTED	public: virtual __cdecl ObjRefConcrete<class LightHue, class ObjectDir>::~ObjRefConcrete<class LightHue, class ObjectDir>(void)	public: virtual __cdecl ObjRefConcrete<class Sequence, class ObjectDir>::~ObjRefConcrete<class Sequence, class ObjectDir>(void)
392	UNDECIDABLE	engine	default/LightPreset	?_M_fill_insert_aux@?$vector@UKeyframe@LightPreset@@V?$StlNodeAlloc@UKeyframe@LightPreset@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAUKeyframe@LightPreset@@IABU34@ABU__false_type@2@@Z	99.8980	UNKNOWN	REFUTED	struct LightPreset::Keyframe * __cdecl stlpmtx_std::__uninitialized_copy<struct LightPreset::Keyframe const *, struct LightPreset::Keyframe *>(struct LightPreset::Keyframe const *, struct LightPreset::Keyframe const *, struct LightPreset::Keyframe *, struct stlpmtx_std::__false_type const &)	struct LightPreset::Keyframe * __cdecl stlpmtx_std::__uninitialized_copy<struct LightPreset::Keyframe *, struct LightPreset::Keyframe *>(struct LightPreset::Keyframe *, struct LightPreset::Keyframe *, struct LightPreset::Keyframe *, struct stlpmtx_std::__false_type const &)
388	A_FOLD_CONSISTENT	engine	default/BandWardrobe	?SelectExtra@BandWardrobe@@QAAXAAUMerger@FileMerger@@@Z	99.9485	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class Symbol, struct stlpmtx_std::_Nonconst_traits<class Symbol>> __cdecl stlpmtx_std::list<class Symbol, class stlpmtx_std::StlNodeAlloc<class Symbol>>::insert(struct stlpmtx_std::_List_iterator<class Symbol, struct stlpmtx_std::_Nonconst_traits<class Symbol>>, class Symbol const &)
388	A_FOLD_CONSISTENT	game	default/band3/game/BandUserMgr	?GetBandUsers@BandUserMgr@@QBAHPAV?$vector@PAVBandUser@@V?$StlNodeAlloc@PAVBandUser@@@stlpmtx_std@@@stlpmtx_std@@H@Z	99.8969	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class BandUser *, class stlpmtx_std::StlNodeAlloc<class BandUser *>>::push_back(class BandUser *const &)
388	A_FOLD_CONSISTENT	game	default/ContextChecker	?GetSongSpecificEntries@@YA?AV?$vector@PBDV?$StlNodeAlloc@PBD@stlpmtx_std@@@stlpmtx_std@@PBVDataArray@@@Z	99.9485	SAME	REFUTED	public: __cdecl stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>>::vector<int, class stlpmtx_std::StlNodeAlloc<int>>(class stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>> const &)	public: __cdecl stlpmtx_std::vector<char const *, class stlpmtx_std::StlNodeAlloc<char const *>>::vector<char const *, class stlpmtx_std::StlNodeAlloc<char const *>>(class stlpmtx_std::vector<char const *, class stlpmtx_std::StlNodeAlloc<char const *>> const &)
388	BC_DIFFERENT_UNRESOLVED	engine	default/AmbientOcclusion	?OnGetValidObjects@RndAmbientOcclusion@@IBA?AVDataNode@@PAVDataArray@@@Z	99.8969	DIFFERENT	REFUTED	public: class ObjDirItr<class CharBone> & __cdecl ObjDirItr<class CharBone>::operator++(void)	public: class ObjDirItr<class Hmx::Object> & __cdecl ObjDirItr<class Hmx::Object>::operator++(void)
