size	class	tier	unit	symbol	fuzzy	fold_test	mapname	target_name	our_name
1304	BC_DIFFERENT_UNRESOLVED	game	default/band3/bandtrack/Gem	?SyncProperty@OutfitConfig@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	99.9847	DIFFERENT	REFUTED	bool __cdecl PropSync<class TransformArea>(class ObjVector<class TransformArea> &, class DataNode &, class DataArray *, int, enum PropOp)	bool __cdecl PropSync<class OutfitConfig::MatSwap>(class ObjVector<class OutfitConfig::MatSwap> &, class DataNode &, class DataArray *, int, enum PropOp)
1228	UNDECIDABLE	game	default/OvershellPartSelectProvider	?Reload@OvershellPartSelectProvider@@QAAXW4ControllerType@@PAVBandUser@@@Z	99.8371	UNKNOWN	REFUTED	public: void __cdecl stlpmtx_std::vector<struct WeightedEntry, class stlpmtx_std::StlNodeAlloc<struct WeightedEntry>>::push_back(struct WeightedEntry const &)	public: void __cdecl stlpmtx_std::vector<class OvershellPartSelectProvider::PartSelectEntry, class stlpmtx_std::StlNodeAlloc<class OvershellPartSelectProvider::PartSelectEntry>>::push_back(class OvershellPartSelectProvider::PartSelectEntry const &)
1136	A_FOLD_CONSISTENT	engine	default/Character	?Sort@CharPollableSorter@@QAAXAAV?$vector@PAVRndPollable@@V?$StlNodeAlloc@PAVRndPollable@@@stlpmtx_std@@@stlpmtx_std@@@Z	93.6796	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<struct CharPollableSorter::Dep *, class stlpmtx_std::StlNodeAlloc<struct CharPollableSorter::Dep *>>::push_back(struct CharPollableSorter::Dep *const &)
1116	A_FOLD_CONSISTENT	engine	default/CharBoneDir	?MergeCharacter@CharBoneDir@@IAAXABVFilePath@@@Z	99.9642	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class RndTransformable *, struct stlpmtx_std::_Nonconst_traits<class RndTransformable *>> __cdecl stlpmtx_std::list<class RndTransformable *, class stlpmtx_std::StlNodeAlloc<class RndTransformable *>>::insert(struct stlpmtx_std::_List_iterator<class RndTransformable *, struct stlpmtx_std::_Nonconst_traits<class RndTransformable *>>, class RndTransformable *const &)
1096	UNDECIDABLE	engine	default/system/rndobj/Utl	?SpliceKeys@@YAXPAVRndTransAnim@@0MM@Z	98.7409	UNKNOWN	REFUTED	public: int __cdecl Keys<class Vector3, class Vector3>::Add(class Vector3 const &, float, bool)	public: int __cdecl Keys<class Hmx::Quat, class Hmx::Quat>::Add(class Hmx::Quat const &, float, bool)
1080	A_FOLD_CONSISTENT	engine	default/LabelNumberTicker	?SyncProperty@LabelNumberTicker@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	99.9815	SAME	REFUTED	public: void __cdecl ObjRefConcrete<class BandCharacter, class ObjectDir>::SetObjConcrete(class BandCharacter *)	public: void __cdecl ObjRefConcrete<class UILabel, class ObjectDir>::SetObjConcrete(class UILabel *)
1052	BC_DIFFERENT_UNRESOLVED	engine	default/Env_NG	?UpdateOverlay@NgRnd@@MAAMPAVRndOverlay@@M@Z	99.7338	DIFFERENT	REFUTED	char const * __cdecl MakeString<char const *, char const *>(char const *, char const *, char const *)	char const * __cdecl MakeString<int, int>(char const *, int, int)
1048	BC_DIFFERENT_UNRESOLVED	engine	default/CharHair	?SyncProperty@CharHair@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	99.9809	DIFFERENT	REFUTED	bool __cdecl PropSync<struct Flow::DynamicPropertyEntry>(class ObjVector<struct Flow::DynamicPropertyEntry> &, class DataNode &, class DataArray *, int, enum PropOp)	bool __cdecl PropSync<class CharHair::Strand>(class ObjVector<class CharHair::Strand> &, class DataNode &, class DataArray *, int, enum PropOp)
1040	A_FOLD_CONSISTENT	engine	default/FingerShape	??0FingerShape@@QAA@PAVRndDir@@@Z	99.6154	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class RndAnimatable *, class stlpmtx_std::StlNodeAlloc<class RndAnimatable *>>::push_back(class RndAnimatable *const &)
1040	A_FOLD_CONSISTENT	engine	default/AmbientOcclusion	?BuildTrees@RndAmbientOcclusion@@QAAXW4Quality@1@@Z	99.9808	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class Triangle *, struct stlpmtx_std::_Nonconst_traits<class Triangle *>> __cdecl stlpmtx_std::list<class Triangle *, class stlpmtx_std::StlNodeAlloc<class Triangle *>>::insert(struct stlpmtx_std::_List_iterator<class Triangle *, struct stlpmtx_std::_Nonconst_traits<class Triangle *>>, class Triangle *const &)
1012	A_FOLD_CONSISTENT	engine	default/CharHair	?Hookup@CharHair@@QAAXAAV?$ObjPtrList@VCharCollide@@VObjectDir@@@@@Z	99.8419	SAME	REFUTED	private: void __cdecl ObjPtrList<class RndMesh, class ObjectDir>::Link(class ObjPtrList<class RndMesh, class ObjectDir>::iterator, struct ObjPtrList<class RndMesh, class ObjectDir>::Node *)	private: void __cdecl ObjPtrList<class CharCollide, class ObjectDir>::Link(class ObjPtrList<class CharCollide, class ObjectDir>::iterator, struct ObjPtrList<class CharCollide, class ObjectDir>::Node *)
1008	A_FOLD_CONSISTENT	engine	default/BandCharacter	?BandInit@@YAXXZ	99.9802	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<void (__cdecl *)(void), struct stlpmtx_std::_Nonconst_traits<void (__cdecl *)(void)>> __cdecl stlpmtx_std::list<void (__cdecl *)(void), class stlpmtx_std::StlNodeAlloc<void (__cdecl *)(void)>>::insert(struct stlpmtx_std::_List_iterator<void (__cdecl *)(void), struct stlpmtx_std::_Nonconst_traits<void (__cdecl *)(void)>>, void (__cdecl *const &)(void))
980	A_FOLD_CONSISTENT	game	default/band3/game/Game	?GameInit@@YAXXZ	99.9796	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<void (__cdecl *)(void), struct stlpmtx_std::_Nonconst_traits<void (__cdecl *)(void)>> __cdecl stlpmtx_std::list<void (__cdecl *)(void), class stlpmtx_std::StlNodeAlloc<void (__cdecl *)(void)>>::insert(struct stlpmtx_std::_List_iterator<void (__cdecl *)(void), struct stlpmtx_std::_Nonconst_traits<void (__cdecl *)(void)>>, void (__cdecl *const &)(void))
948	A_FOLD_CONSISTENT	engine	default/EventTrigger	?LoadOldEvent@EventTrigger@@IAAXAAVBinStreamRev@@PAVObject@Hmx@@PBDPAVObjectDir@@@Z	99.9789	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class Symbol, struct stlpmtx_std::_Nonconst_traits<class Symbol>> __cdecl stlpmtx_std::list<class Symbol, class stlpmtx_std::StlNodeAlloc<class Symbol>>::insert(struct stlpmtx_std::_List_iterator<class Symbol, struct stlpmtx_std::_Nonconst_traits<class Symbol>>, class Symbol const &)
908	A_FOLD_CONSISTENT	game	default/GemSmasher	??0GemSmasher@@QAA@HPAVRndDir@@_N@Z	99.8458	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<class ChatReceiver *, class stlpmtx_std::StlNodeAlloc<class ChatReceiver *>>::push_back(class ChatReceiver *const &)	public: void __cdecl stlpmtx_std::vector<class EventTrigger *, class stlpmtx_std::StlNodeAlloc<class EventTrigger *>>::push_back(class EventTrigger *const &)
900	UNDECIDABLE	engine	default/system/synth_xbox/Synth	?Init@Synth360@@UAAXXZ	99.9778	UNKNOWN	REFUTED	private: void __cdecl stlpmtx_std::vector<class Hmx::Object *, class stlpmtx_std::StlNodeAlloc<class Hmx::Object *>>::_M_fill_insert(class Hmx::Object **, unsigned int, class Hmx::Object *const &)	private: void __cdecl stlpmtx_std::vector<class Mic *, class stlpmtx_std::StlNodeAlloc<class Mic *>>::_M_fill_insert(class Mic **, unsigned int, class Mic *const &)
896	A_FOLD_CONSISTENT	game	default/GemManager	??0GemManager@@QAA@ABVTrackConfig@@PAVTrackDir@@@Z	99.9241	SAME	REFUTED	public: void __cdecl stlpmtx_std::vector<struct CharPollableSorter::Dep *, class stlpmtx_std::StlNodeAlloc<struct CharPollableSorter::Dep *>>::reserve(unsigned int)	public: void __cdecl stlpmtx_std::vector<class TrackWidget *, class stlpmtx_std::StlNodeAlloc<class TrackWidget *>>::reserve(unsigned int)
884	BC_DIFFERENT_UNRESOLVED	engine	default/PitchDetector	??0PitchDetector@Synapse@DSP@@QAA@ABV?$vector@MV?$StlNodeAlloc@M@stlpmtx_std@@@stlpmtx_std@@II@Z	99.9321	DIFFERENT	REFUTED	private: void __cdecl stlpmtx_std::vector<float *, class stlpmtx_std::StlNodeAlloc<float *>>::_M_fill_insert(float **, unsigned int, float *const &)	private: void __cdecl stlpmtx_std::vector<float, class stlpmtx_std::StlNodeAlloc<float>>::_M_fill_insert(float *, unsigned int, float const &)
856	A_FOLD_CONSISTENT	engine	default/SongInfoCopy	??0SongInfoCopy@@QAA@PBVSongInfo@@@Z	99.9533	SAME	CORROBORATED	public: class stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>> & __cdecl stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>>::operator=(class stlpmtx_std::vector<int, class stlpmtx_std::StlNodeAlloc<int>> const &)	public: class stlpmtx_std::vector<float, class stlpmtx_std::StlNodeAlloc<float>> & __cdecl stlpmtx_std::vector<float, class stlpmtx_std::StlNodeAlloc<float>>::operator=(class stlpmtx_std::vector<float, class stlpmtx_std::StlNodeAlloc<float>> const &)
856	A_FOLD_CONSISTENT	engine	default/BandIKEffector	?PollDeps@BandIKEffector@@UAAXAAV?$list@PAVObject@Hmx@@V?$StlNodeAlloc@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@0@Z	98.6682	SAME	REFUTED	public: struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>> __cdecl stlpmtx_std::list<class CharClip *, class stlpmtx_std::StlNodeAlloc<class CharClip *>>::insert(struct stlpmtx_std::_List_iterator<class CharClip *, struct stlpmtx_std::_Nonconst_traits<class CharClip *>>, class CharClip *const &)	public: struct stlpmtx_std::_List_iterator<class Hmx::Object *, struct stlpmtx_std::_Nonconst_traits<class Hmx::Object *>> __cdecl stlpmtx_std::list<class Hmx::Object *, class stlpmtx_std::StlNodeAlloc<class Hmx::Object *>>::insert(struct stlpmtx_std::_List_iterator<class Hmx::Object *, struct stlpmtx_std::_Nonconst_traits<class Hmx::Object *>>, class Hmx::Object *const &)
