solo_closable_B	solo_rows	sites	strength	retail_S	ours_F	units	victim_rows
12	1	1	F_ungraded	?SyncProperty@RndTransformable@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	?Replace@RndTransformable@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z	default/CharBone	?Replace@RndTransformable@@$4PPPPPPPM@A@AAXPAVObjRef@@PAVObject@Hmx@@@Z
12	1	1	F_ungraded	?SetType@CharDriver@@UAAXVSymbol@@@Z	?Replace@CharDriver@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z	default/CharDriver	?Replace@CharDriver@@$4PPPPPPPM@A@AAXPAVObjRef@@PAVObject@Hmx@@@Z
12	1	1	AIRTIGHT	?ClassName@CharSleeve@@UBA?AVSymbol@@XZ	?ClassName@CharDriver@@UBA?AVSymbol@@XZ	default/CharDriver	?ClassName@CharDriver@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	F_ungraded	?SetType@CharDriverMidi@@UAAXVSymbol@@@Z	?Load@CharDriverMidi@@UAAXAAVBinStream@@@Z	default/CharDriverMidi	?Load@CharDriverMidi@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	AIRTIGHT	?ClassName@CharForeTwist@@UBA?AVSymbol@@XZ	?ClassName@CharIKMidi@@UBA?AVSymbol@@XZ	default/CharIKMidi	?ClassName@CharIKMidi@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?SetType@CharIKRod@@UAAXVSymbol@@@Z	?Copy@CharIKRod@@UAAXPBVObject@Hmx@@W4CopyType@23@@Z	default/CharIKRod	?Copy@CharIKRod@@$4PPPPPPPM@A@AAXPBVObject@Hmx@@W4CopyType@23@@Z
12	1	1	F_ungraded	?SyncProperty@CharIKRod@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	?Load@CharIKRod@@UAAXAAVBinStream@@@Z	default/CharIKRod	?Load@CharIKRod@@$4PPPPPPPM@A@AAXAAVBinStream@@@Z
12	1	1	AIRTIGHT	?ClassName@CharUpperTwist@@UBA?AVSymbol@@XZ	?ClassName@CharIKSliderMidi@@UBA?AVSymbol@@XZ	default/CharIKSliderMidi	?ClassName@CharIKSliderMidi@@$4PPPPPPPM@A@BA?AVSymbol@@XZ
12	1	1	AIRTIGHT	?Replace@RndParticleSys@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z	?SyncProperty@RndParticleSys@@UAA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	default/Part	?SyncProperty@RndParticleSys@@$4PPPPPPPM@A@AA_NAAVDataNode@@PAVDataArray@@HW4PropOp@@@Z
12	1	1	AIRTIGHT	?SetType@RndParticleSys@@UAAXVSymbol@@@Z	?Replace@RndParticleSys@@UAAXPAVObjRef@@PAVObject@Hmx@@@Z	default/Part	?Replace@RndParticleSys@@$4PPPPPPPM@A@AAXPAVObjRef@@PAVObject@Hmx@@@Z
