solo_closable_B	solo_rows	sites	strength	retail_S	ours_F	units	victim_rows
4	1	1	AIRTIGHT	??1?$hashtable@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@VSymbol@@U?$hash@VSymbol@@@2@U?$_HashMapTraitsT@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@2@U?$equal_to@VSymbol@@@2@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@QAA@XZ	?IsLeaderLocal@@YA_NXZ	default/band3/meta_band/InterstitialMgr	?HasSyncPermission@InterstitialMgr@@UBA_NXZ
4	1	1	AIRTIGHT	?IsLeaderLocal@@YA_NXZ	?__ucopy_trivial@stlpmtx_std@@YAPAXPBX0PAX@Z	default/MetaPerformer	??$__ucopy_aux@PBQAVBandProfile@@PAPAV1@@stlpmtx_std@@YAPAPAVBandProfile@@PBQAV1@0PAPAV1@ABU__true_type@0@@Z
4	1	1	AIRTIGHT	?Reset@SIVideo@@QAAXXZ	?Reset@RndBitmap@@QAAXXZ	default/system/rnddx9/CubeTex	??1RndBitmap@@QAA@XZ
4	1	1	AIRTIGHT	?Draw@UIPanel@@UAAXXZ	?Enter@UIPanel@@UAAXXZ	default/band3/meta_band/PatchSelectPanel	?Enter@PatchSelectPanel@@UAAXXZ
4	1	1	AIRTIGHT	?clear@?$_List_base@VOldMatOption@@V?$StlNodeAlloc@VOldMatOption@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	??1BitmapOverride@WorldDir@@QAA@XZ	default/Character	??$_Destroy@UBitmapOverride@WorldDir@@@stlpmtx_std@@YAXPAUBitmapOverride@WorldDir@@@Z
4	1	1	AIRTIGHT	?clear@?$_List_base@UCheatLog@@V?$StlNodeAlloc@UCheatLog@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	?clear@?$_List_base@UMatOverride@WorldDir@@V?$StlNodeAlloc@UMatOverride@WorldDir@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	default/WaveFile	??1?$ObjList@UMatOverride@WorldDir@@@@QAA@XZ
4	1	1	F_ungraded	??1?$vector@VBandPatchMesh@@V?$StlNodeAlloc@VBandPatchMesh@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??1DynamicPropertyEntry@Flow@@QAA@XZ	default/HamCamTransform	??$_Destroy@UDynamicPropertyEntry@Flow@@@stlpmtx_std@@YAXPAUDynamicPropertyEntry@Flow@@@Z
4	1	1	AIRTIGHT	?clear@?$_Rb_tree@PAVObject@Hmx@@U?$less@PAVObject@Hmx@@@stlpmtx_std@@U?$pair@QAVObject@Hmx@@UDep@CharPollableSorter@@@4@U?$_Select1st@U?$pair@QAVObject@Hmx@@UDep@CharPollableSorter@@@stlpmtx_std@@@4@U?$_MapTraitsT@U?$pair@QAVObject@Hmx@@UDep@CharPollableSorter@@@stlpmtx_std@@@priv@4@V?$StlNodeAlloc@U?$pair@QAVObject@Hmx@@UDep@CharPollableSorter@@@stlpmtx_std@@@4@@stlpmtx_std@@QAAXXZ	?Enter@RndPollable@@UAAXXZ	default/BandRetargetVignette	?Enter@BandRetargetVignette@@UAAXXZ
4	1	1	AIRTIGHT	?clear@?$_List_base@VContentPoolMapping@SongSectionController@@V?$StlNodeAlloc@VContentPoolMapping@SongSectionController@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	?Exit@RndPollable@@UAAXXZ	default/SongSectionController	?Exit@SongSectionController@@UAAXXZ
4	1	1	AIRTIGHT	??1?$vector@VSfxMap@@V?$StlNodeAlloc@VSfxMap@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??1Note@MidiChannel@@QAA@XZ	default/Sfx	??$_Destroy@UNote@MidiChannel@@@stlpmtx_std@@YAXPAUNote@MidiChannel@@@Z
4	1	1	AIRTIGHT	??1?$vector@ULod@Character@@V?$StlNodeAlloc@ULod@Character@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??1Lod@Character@@QAA@XZ	default/Character	??$_Destroy@ULod@Character@@@stlpmtx_std@@YAXPAULod@Character@@@Z
4	1	1	AIRTIGHT	??1?$vector@VPiercing@OutfitConfig@@V?$StlNodeAlloc@VPiercing@OutfitConfig@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??1CharData@WorldCrowd@@QAA@XZ	default/HamCamTransform	??$_Destroy@UCharData@WorldCrowd@@@stlpmtx_std@@YAXPAUCharData@WorldCrowd@@@Z
4	1	1	AIRTIGHT	?Update@StreamChecksum@@QAAXPBEI@Z	GetUsersPadNum	default/StreamChecksum	JoypadGetUsersPadNum
4	1	1	F_sub100	?Enter@UIPanel@@UAAXXZ	?MemFree@@YAXPAX@Z	default/Object	??3TypeProps@@SAXPAX@Z
4	1	1	F_sub100	?clear@?$_List_base@VBlockRequest@@V?$StlNodeAlloc@VBlockRequest@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	?MemFree@@YAXPAX@Z	default/BlockMgr	??3Block@@SAXPAX@Z
4	1	1	F_sub100	?clear@?$_List_base@VBSPFace@@V?$StlNodeAlloc@VBSPFace@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	?MemFree@@YAXPAX@Z	default/Mesh	??3Vert@RndMesh@@SAXPAX@Z
4	1	1	F_ungraded	?clear@?$_Rb_tree@UTrackerPlayerID@@U?$less@UTrackerPlayerID@@@stlpmtx_std@@U?$pair@$$CBUTrackerPlayerID@@VPlayerStreakData@StreakTracker@@@3@U?$_Select1st@U?$pair@$$CBUTrackerPlayerID@@VPlayerStreakData@StreakTracker@@@stlpmtx_std@@@3@U?$_MapTraitsT@U?$pair@$$CBUTrackerPlayerID@@VPlayerStreakData@StreakTracker@@@stlpmtx_std@@@priv@3@V?$StlNodeAlloc@U?$pair@$$CBUTrackerPlayerID@@VPlayerStreakData@StreakTracker@@@stlpmtx_std@@@3@@stlpmtx_std@@QAAXXZ	?DrawToTexture@TexProc@@IAAXXZ	default/TexProc	?DrawPreClear@TexProc@@UAAXXZ
4	1	1	F_sub100	?clear@?$_List_base@UNote@MidiChannel@@V?$StlNodeAlloc@UNote@MidiChannel@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	?MemFree@@YAXPAX@Z	default/ADSR	??3ADSR@@SAXPAX@Z
4	1	1	AIRTIGHT	?clear@?$_List_base@UServerData@NetCacheMgr@@V?$StlNodeAlloc@UServerData@NetCacheMgr@@@stlpmtx_std@@@stlpmtx_std@@QAAXXZ	??1String@@UAA@XZ	default/NetCacheMgr	??$_Destroy@UNetLoaderRef@@@stlpmtx_std@@YAXPAUNetLoaderRef@@@Z
4	1	1	AIRTIGHT	?clear@?$_List_base@U?$pair@VString@@P6APAVLoader@@ABVFilePath@@W4LoaderPos@@@Z@stlpmtx_std@@V?$StlNodeAlloc@U?$pair@VString@@P6APAVLoader@@ABVFilePath@@W4LoaderPos@@@Z@stlpmtx_std@@@2@@stlpmtx_std@@QAAXXZ	??1String@@UAA@XZ	default/Loader	??$_Destroy@U?$pair@VString@@P6APAVLoader@@ABVFilePath@@W4LoaderPos@@@Z@stlpmtx_std@@@stlpmtx_std@@YAXPAU?$pair@VString@@P6APAVLoader@@ABVFilePath@@W4LoaderPos@@@Z@0@@Z
0	0	3	AIRTIGHT	??4Patch@BandCharDesc@@QAAAAV01@ABV01@@Z	??4MeshAO@OutfitConfig@@QAAAAV01@ABV01@@Z		
0	0	3	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@V1@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V1@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ		
0	0	3	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAV?$vector@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAV?$vector@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ		
0	0	3	AIRTIGHT	?Interp@@YAXABVQuat@Hmx@@0MAAV12@@Z	?Nlerp@@YAXABVQuat@Hmx@@0MAAV12@@Z		
0	0	2	F_sub100	??$__merge_sort_with_buffer@PAVSymbol@@PAV1@HVAccomplishmentGroupCmp@@@stlpmtx_std@@YAXPAVSymbol@@00PAHVAccomplishmentGroupCmp@@@Z	??$__merge_sort_with_buffer@PAVSymbol@@PAV1@HVAccomplishmentCategoryCmp@@@stlpmtx_std@@YAXPAVSymbol@@00PAHVAccomplishmentCategoryCmp@@@Z		
0	0	2	AIRTIGHT	?erase@?$list@UProxyCall@EventTrigger@@V?$StlNodeAlloc@UProxyCall@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UProxyCall@EventTrigger@@U?$_Nonconst_traits@UProxyCall@EventTrigger@@@stlpmtx_std@@@2@U32@0@Z	?erase@?$list@UAnim@EventTrigger@@V?$StlNodeAlloc@UAnim@EventTrigger@@@stlpmtx_std@@@stlpmtx_std@@QAA?AU?$_List_iterator@UAnim@EventTrigger@@U?$_Nonconst_traits@UAnim@EventTrigger@@@stlpmtx_std@@@2@U32@0@Z		
0	0	2	F_ungraded	?PropSync@@YA_NAAVStrand@CharHair@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z	?PropSync@@YA_NAAUDynamicPropertyEntry@Flow@@AAVDataNode@@PAVDataArray@@HW4PropOp@@@Z		
0	0	2	F_ungraded	?PrintParticlePoolSize@?A0x1a651105@@YA?AVDataNode@@PAVDataArray@@@Z	?PrintParticlePoolSize@?A0xb0344ebf@@YA?AVDataNode@@PAVDataArray@@@Z		
0	0	2	AIRTIGHT	?NewObject@CharMeshHide@@SAPAVObject@Hmx@@XZ	?NewObject@Sfx@@SAPAVObject@Hmx@@XZ		
0	0	2	F_ungraded	??0MatSwap@OutfitConfig@@QAA@PAVObject@Hmx@@@Z	??0TransformArea@@QAA@PAVObject@Hmx@@@Z		
0	0	2	F_ungraded	??1?$vector@V?$Key@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@@@V?$StlNodeAlloc@V?$Key@V?$vector@VColor@Hmx@@V?$StlNodeAlloc@VColor@Hmx@@@stlpmtx_std@@@stlpmtx_std@@@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ	??1?$vector@V?$Key@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@@V?$StlNodeAlloc@V?$Key@V?$vector@VVector3@@V?$StlNodeAlloc@VVector3@@@stlpmtx_std@@@stlpmtx_std@@@@@stlpmtx_std@@@stlpmtx_std@@QAA@XZ		
0	0	2	F_sub100	?Save@PropKeys@@UAAXAAVBinStream@@@Z	?Load@PropKeys@@UAAXAAVBinStreamRev@@@Z		
0	0	2	F_ungraded	?op40@@YA?AVDataNode@@PAVDataArray@@@Z	?op58@@YA?AVDataNode@@PAVDataArray@@@Z		
0	0	1	F_ungraded	??4?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z	??4?$vector@PAVRndAnimatable@@V?$StlNodeAlloc@PAVRndAnimatable@@@stlpmtx_std@@@stlpmtx_std@@QAAAAV01@ABV01@@Z		
0	0	1	AIRTIGHT	?LeftHandSlide@GameGem@@QBA_NXZ	?ShowChordNums@GameGem@@QBA_NXZ		
0	0	1	F_sub100	??0Patch@BandCharDesc@@QAA@ABV01@@Z	??0MeshAO@OutfitConfig@@QAA@ABV01@@Z		
0	0	1	F_sub100	?SymToDifficulty@@YA?AW4Difficulty@@VSymbol@@@Z	?SymToControllerType@@YA?AW4ControllerType@@VSymbol@@@Z		
0	0	1	AIRTIGHT	?SetDifficulty@BandUser@@QAAXW4Difficulty@@@Z	?SetControllerType@BandUser@@QAAXW4ControllerType@@@Z		
0	0	1	F_ungraded	??_DSpotlightEnder@@QAAXXZ	??_DRemoteBandUser@@QAAXXZ		
0	0	1	F_ungraded	?_M_fill_insert_aux@?$vector@VMeshFace@BandPatchMesh@@V?$StlNodeAlloc@VMeshFace@BandPatchMesh@@@stlpmtx_std@@@stlpmtx_std@@AAAXPAVMeshFace@BandPatchMesh@@IABV34@ABU__false_type@2@@Z	?_M_fill_insert_aux@?$vector@EV?$StlNodeAlloc@E@stlpmtx_std@@@stlpmtx_std@@AAAXPAEIABEABU__false_type@2@@Z		
0	0	1	AIRTIGHT	?Restart@BeatMatcher@@QAAXXZ	?SetAutoplayError@BeatMatcher@@QAAXH@Z		
0	0	1	F_ungraded	?OnPlayerRemoved@Game@@QAAXPAVPlayer@@@Z	?OnPlayerSaved@Game@@QAAXPAVPlayer@@@Z		
0	0	1	F_ungraded	?resize@?$vector@UDepthBuffer3DAttachment@@V?$StlNodeAlloc@UDepthBuffer3DAttachment@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABUDepthBuffer3DAttachment@@@Z	?resize@?$vector@VVocalScoreCache@@V?$StlNodeAlloc@VVocalScoreCache@@@stlpmtx_std@@@stlpmtx_std@@QAAXIABVVocalScoreCache@@@Z		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVAccomplishment@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAccomplishment@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVAccomplishmentCategory@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAccomplishmentCategory@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVAccomplishmentGroup@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAccomplishmentGroup@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVAward@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVAward@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAV?$list@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAV?$list@VSymbol@@V?$StlNodeAlloc@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAV?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAV?$set@VSymbol@@U?$less@VSymbol@@@stlpmtx_std@@V?$StlNodeAlloc@VSymbol@@@3@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVSongFilter@SongSortMgr@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@5@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVSongFilter@SongSortMgr@@@stlpmtx_std@@@5@@stlpmtx_std@@QAA@XZ		
0	0	1	F_sub100	??$__lower_bound@PAVSymbol@@V1@UGoalAlpaCmp@@H@stlpmtx_std@@YAPAVSymbol@@PAV1@0ABV1@UGoalAlpaCmp@@PAH@Z	??$__lower_bound@PAVSymbol@@V1@VAccomplishmentCategoryCmp@@H@stlpmtx_std@@YAPAVSymbol@@PAV1@0ABV1@VAccomplishmentCategoryCmp@@PAH@Z		
0	0	1	F_sub100	??$__upper_bound@PAVSymbol@@V1@UGoalAlpaCmp@@H@stlpmtx_std@@YAPAVSymbol@@PAV1@0ABV1@UGoalAlpaCmp@@PAH@Z	??$__upper_bound@PAVSymbol@@V1@VAccomplishmentCategoryCmp@@H@stlpmtx_std@@YAPAVSymbol@@PAV1@0ABV1@VAccomplishmentCategoryCmp@@PAH@Z		
0	0	1	F_sub100	??$merge@PAVSymbol@@PAV1@PAV1@UGoalAlpaCmp@@@stlpmtx_std@@YAPAVSymbol@@PAV1@0000UGoalAlpaCmp@@@Z	??$merge@PAVSymbol@@PAV1@PAV1@VAccomplishmentCategoryCmp@@@stlpmtx_std@@YAPAVSymbol@@PAV1@0000VAccomplishmentCategoryCmp@@@Z		
0	0	1	F_sub100	??$__merge_backward@PAVSymbol@@PAV1@PAV1@UGoalAlpaCmp@@@stlpmtx_std@@YAPAVSymbol@@PAV1@0000UGoalAlpaCmp@@@Z	??$__merge_backward@PAVSymbol@@PAV1@PAV1@VAccomplishmentCategoryCmp@@@stlpmtx_std@@YAPAVSymbol@@PAV1@0000VAccomplishmentCategoryCmp@@@Z		
0	0	1	F_sub100	??$__merge_without_buffer@PAVSymbol@@HVAccomplishmentGroupCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HHVAccomplishmentGroupCmp@@@Z	??$__merge_without_buffer@PAVSymbol@@HVAccomplishmentCategoryCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HHVAccomplishmentCategoryCmp@@@Z		
0	0	1	F_sub100	??$__merge_adaptive@PAVSymbol@@HPAV1@VAccomplishmentGroupCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HH0HVAccomplishmentGroupCmp@@@Z	??$__merge_adaptive@PAVSymbol@@HPAV1@VAccomplishmentCategoryCmp@@@stlpmtx_std@@YAXPAVSymbol@@00HH0HVAccomplishmentCategoryCmp@@@Z		
0	0	1	AIRTIGHT	?GetTotalPointsForNextMajorCampaignLevelForUser@Campaign@@QAAHPAVLocalBandUser@@@Z	?GetCurrentPointsForNextMajorCampaignLevelForUser@Campaign@@QAAHPAVLocalBandUser@@@Z		
0	0	1	AIRTIGHT	?GetCurrentPointsForNextMajorCampaignLevelForUser@Campaign@@QAAHPAVLocalBandUser@@@Z	?GetTotalPointsForNextMajorCampaignLevelForUser@Campaign@@QAAHPAVLocalBandUser@@@Z		
0	0	1	AIRTIGHT	?Highlight@RndDir@@UAAXXZ	?SetTypeDef@UIPanel@@UAAXPAVDataArray@@@Z		
0	0	1	F_ungraded	?_M_insert@?$hashtable@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@VSymbol@@U?$hash@VSymbol@@@2@U?$_HashMapTraitsT@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@2@U?$equal_to@VSymbol@@@2@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBVSymbol@@PAVDataArray@@@2@ABU32@@Z	?_M_insert@?$hashtable@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@VSymbol@@U?$hash@VSymbol@@@2@U?$_HashMapTraitsT@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@priv@2@U?$_Select1st@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@2@U?$equal_to@VSymbol@@@2@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@2@@stlpmtx_std@@QAAAAU?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@2@ABU32@@Z		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@U?$hash@VSymbol@@@3@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@V?$hash_map@VSymbol@@PAVDataArray@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVDataArray@@@stlpmtx_std@@@4@@stlpmtx_std@@@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVUIScreen@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVUIScreen@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??0?$hash_map@VSymbol@@HU?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@3@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@H@stlpmtx_std@@@3@@stlpmtx_std@@QAA@XZ	??0?$hash_map@VSymbol@@PAVLesson@@U?$hash@VSymbol@@@stlpmtx_std@@U?$equal_to@VSymbol@@@4@V?$StlNodeAlloc@U?$pair@$$CBVSymbol@@PAVLesson@@@stlpmtx_std@@@4@@stlpmtx_std@@QAA@XZ		
0	0	1	F_ungraded	??$__median@PAVPrefabChar@@USortPrefabByPortraitFileName@@@stlpmtx_std@@YAABQAVPrefabChar@@ABQAV1@00USortPrefabByPortraitFileName@@@Z	??$__median@PAUEventEntry@@UMaxSort@@@stlpmtx_std@@YAABQAUEventEntry@@ABQAU1@00UMaxSort@@@Z		
0	0	1	F_ungraded	??$__unguarded_partition@PAPAVPrefabChar@@PAV1@USortPrefabByPortraitFileName@@@stlpmtx_std@@YAPAPAVPrefabChar@@PAPAV1@0PAV1@USortPrefabByPortraitFileName@@@Z	??$__unguarded_partition@PAPAUEventEntry@@PAU1@UMaxSort@@@stlpmtx_std@@YAPAPAUEventEntry@@PAPAU1@0PAU1@UMaxSort@@@Z		
0	0	1	F_sub100	??$__introsort_loop@PAVDataArrayPtr@@V1@HUForAllKeyframesSorter@@@stlpmtx_std@@YAXPAVDataArrayPtr@@00HUForAllKeyframesSorter@@@Z	??$__introsort_loop@PAPAUEventEntry@@PAU1@HUMaxSort@@@stlpmtx_std@@YAXPAPAUEventEntry@@00HUMaxSort@@@Z		
